ligand_a,name_a,ligand_b,name_b,tanimoto_morgan2,mcs_atoms
PM48_01,PI-103,PM48_02,OMIPALISIB,0.1,7
PM48_01,PI-103,PM48_10,TORIN1,0.142,7
PM48_01,PI-103,PM48_20,PM48_20,0.096,6
PM48_01,PI-103,PM48_21,PM48_21,0.272,13
PM48_01,PI-103,PM48_26,PM48_26,0.086,7
PM48_01,PI-103,PM48_34,WYE-132,0.175,18
PM48_02,OMIPALISIB,PM48_10,TORIN1,0.202,16
PM48_02,OMIPALISIB,PM48_20,PM48_20,0.148,7
PM48_02,OMIPALISIB,PM48_21,PM48_21,0.076,2
PM48_02,OMIPALISIB,PM48_26,PM48_26,0.181,11
PM48_02,OMIPALISIB,PM48_34,WYE-132,0.117,7
PM48_10,TORIN1,PM48_20,PM48_20,0.125,8
PM48_10,TORIN1,PM48_21,PM48_21,0.117,3
PM48_10,TORIN1,PM48_26,PM48_26,0.116,7
PM48_10,TORIN1,PM48_34,WYE-132,0.144,7
PM48_20,PM48_20,PM48_21,PM48_21,0.182,6
PM48_20,PM48_20,PM48_26,PM48_26,0.455,18
PM48_20,PM48_20,PM48_34,WYE-132,0.133,6
PM48_21,PM48_21,PM48_26,PM48_26,0.147,3
PM48_21,PM48_21,PM48_34,WYE-132,0.194,13
PM48_26,PM48_26,PM48_34,WYE-132,0.123,7
