ligand,pref_name,class,tanimoto_to_PI103,scaffold
PM48_01,PI-103,dual,1.0,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1
PM48_02,OMIPALISIB,dual,0.1,O=S(=O)(Nc1cncc(-c2ccc3nccc(-c4ccnnc4)c3c2)c1)c1ccccc1
PM48_10,TORIN1,dual,0.142,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(N2CCNCC2)cc1
PM48_20,,A_only,0.096,c1ncc(Nc2ncc(CN3CCNCC3)cc2-c2ncncn2)cn1
PM48_21,,A_only,0.272,c1ncc(-c2nc(N3CCOCC3)c3nc4n(c3n2)CCOC4)cn1
PM48_26,,A_only,0.086,c1ccc(Cc2cnc(Nc3cccnc3)c(-c3ncncn3)c2)cc1
PM48_34,WYE-132,B_only,0.175,c1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1
