lambda,auroc_dual_vs_rest,top10_dual,top10_A_only,top10_B_only,top1
0.0,0.6852,6,4,0,PM48_26
0.25,0.6889,6,4,0,PM48_26
0.5,0.687,6,4,0,PM48_26
1.0,0.6907,6,4,0,PM48_26
