ligand,pref_name,class,morpholine,amino_triazine_loose
PM48_01,PI-103,dual,True,False
PM48_02,OMIPALISIB,dual,False,False
PM48_10,TORIN1,dual,False,False
PM48_20,,A_only,False,True
PM48_21,,A_only,True,False
PM48_26,,A_only,False,True
PM48_34,WYE-132,B_only,True,False
