ligand,pref_name,class,pchembl_PIK3CA,pchembl_MTOR,vina_mean_rank,rtm_min_z_rank,rtm_4L23,rtm_4JT6,rtm_shortfall_abs,weak_end,rtm_min_z,clash_fail,role
PM48_01,PI-103,dual,8.89,8.28,9,4,77.24,61.64,15.6,4JT6,1.015,0,gold_standard_PI-103
PM48_02,OMIPALISIB,dual,10.72,9.74,3,30,44.96,68.68,23.73,4L23,-0.677,0,injured_dual_Omipalisib
PM48_10,TORIN1,dual,7.85,9.54,1,31,43.43,52.99,9.56,4L23,-0.756,0,injured_dual_Torin1
PM48_20,,A_only,8.70,5.92,14,2,90.25,60.65,29.6,4JT6,1.127,0,stubborn_A_only
PM48_21,,A_only,8.70,5.92,18,5,75.93,63.91,12.02,4JT6,0.947,0,stubborn_A_only
PM48_26,,A_only,8.40,5.32,20,1,92.75,65.45,27.3,4JT6,1.53,0,stubborn_A_only_Top1
PM48_34,WYE-132,B_only,5.93,9.72,10,40,31.53,50.57,19.04,4L23,-1.381,0,rescued_B_only_WYE-132
