pair,channel,primary_vina_min,channel_min,delta_channel_minus_vina,channel_side_of_0.5,vina_side_of_0.5,flips_side_of_0.5,channel_ci_excludes_0.5
F2/F10,vina_fiveseed_per_ligand_median,0.3448,0.3619,0.0171,below,below,0,1
F2/F10,rtm_best9,0.3448,0.5907,0.2459,above,below,1,0
F2/F10,gnina_cnn_affinity,0.3448,0.5756,0.2308,above,below,1,0
F2/F10,gnina_cnn_score,0.3448,0.628,0.2832,above,below,1,0
F2/F10,holdout_vina_20260727,0.3448,0.3921,0.0473,below,below,0,0
JAK1/TYK2,vina_fiveseed_per_ligand_median,0.3649,0.3715,0.0066,below,below,0,0
JAK1/TYK2,rtm_best9,0.3649,0.6099,0.245,above,below,1,0
JAK1/TYK2,gnina_cnn_affinity,0.3649,0.499,0.1341,below,below,0,0
JAK1/TYK2,gnina_cnn_score,0.3649,0.6694,0.3045,above,below,1,1
JAK1/TYK2,gnina_independent_jak1_tyk2,0.3649,0.3172,-0.0477,below,below,0,1
JAK1/TYK2,holdout_vina_20260727,0.3649,0.475,0.1101,below,below,0,0
JAK1/JAK2,vina_fiveseed_per_ligand_median,0.5884,0.5791,-0.0093,above,above,0,0
JAK1/JAK2,rtm_best9,0.5884,0.6533,0.0649,above,above,0,1
JAK1/JAK2,gnina_cnn_affinity,0.5884,0.5801,-0.0083,above,above,0,0
JAK1/JAK2,gnina_cnn_score,0.5884,0.5996,0.0112,above,above,0,0
JAK1/JAK2,holdout_vina_20260727,0.5884,0.6194,0.031,above,above,0,0
PPARG/PPARA,vina_fiveseed_per_ligand_median,0.6492,0.6719,0.0227,above,above,0,1
PPARG/PPARA,rtm_best9,0.6492,0.3691,-0.2801,below,above,1,1
PPARG/PPARA,gnina_cnn_affinity,0.6492,0.5,-0.1492,at,above,1,0
PPARG/PPARA,gnina_cnn_score,0.6492,0.3965,-0.2527,below,above,1,1
PPARG/PPARA,holdout_vina_20260727,0.6492,0.535,-0.1142,above,above,0,0
PPARA/PPARD,vina_fiveseed_per_ligand_median,0.4463,0.4492,0.0029,below,below,0,0
PPARA/PPARD,rtm_best9,0.4463,0.5625,0.1162,above,below,1,0
PPARA/PPARD,gnina_cnn_affinity,0.4463,0.5947,0.1484,above,below,1,0
PPARA/PPARD,gnina_cnn_score,0.4463,0.5635,0.1172,above,below,1,0
PPARA/PPARD,holdout_vina_20260727,0.4463,0.445,-0.0013,below,below,0,0
