pair,contrast,caliper_sd,n_dual_matched,n_neg_matched,n_dual_full,n_neg_full,auroc_matched,ci_lo,ci_hi,auroc_full,delta_matched_minus_full,underpowered,note,channel
F2/F10,D_vs_B_pocketA,0.5,5,5,31,32,0.56,0.2,1.0,0.5907,-0.0307,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
F2/F10,D_vs_B_pocketA,1.0,19,19,31,32,0.6233,0.4321,0.795,0.5907,0.0325,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/TYK2,D_vs_A_pocketB,0.5,7,7,31,32,0.6939,0.3469,1.0,0.624,0.0699,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/TYK2,D_vs_A_pocketB,1.0,18,18,31,32,0.4877,0.287,0.6852,0.624,-0.1363,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/TYK2,D_vs_B_pocketA,0.5,7,7,31,32,0.5102,0.1837,0.8367,0.6099,-0.0997,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/TYK2,D_vs_B_pocketA,1.0,19,19,31,32,0.6537,0.4625,0.8283,0.6099,0.0439,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/JAK2,D_vs_A_pocketB,0.5,6,6,32,32,0.8889,0.666,1.0,0.6533,0.2356,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/JAK2,D_vs_A_pocketB,1.0,16,16,32,32,0.7305,0.5312,0.8945,0.6533,0.0771,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/JAK2,D_vs_B_pocketA,0.5,4,4,32,32,0.875,0.5,1.0,0.8125,0.0625,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
JAK1/JAK2,D_vs_B_pocketA,1.0,14,14,32,32,0.7857,0.5765,0.949,0.8125,-0.0268,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARG/PPARA,D_vs_A_pocketB,0.5,4,4,32,31,0.1875,0.0,0.5625,0.4405,-0.253,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARG/PPARA,D_vs_A_pocketB,1.0,17,17,32,31,0.3391,0.1661,0.5294,0.4405,-0.1014,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARG/PPARA,D_vs_B_pocketA,0.5,1,1,32,32,1.0,1.0,1.0,0.3691,0.6309,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARG/PPARA,D_vs_B_pocketA,1.0,16,16,32,32,0.2695,0.0938,0.4648,0.3691,-0.0996,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARA/PPARD,D_vs_A_pocketB,0.5,7,7,32,32,0.5918,0.2653,0.898,0.6504,-0.0586,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARA/PPARD,D_vs_A_pocketB,1.0,21,21,32,32,0.5692,0.39,0.746,0.6504,-0.0812,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARA/PPARD,D_vs_B_pocketA,0.5,5,5,32,32,0.44,0.08,0.8,0.5625,-0.1225,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
PPARA/PPARD,D_vs_B_pocketA,1.0,14,14,32,32,0.551,0.3163,0.7857,0.5625,-0.0115,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,rtm_best9
F2/F10,D_vs_A_pocketB,0.5,5,5,31,32,0.84,0.52,1.0,0.5968,0.2432,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
F2/F10,D_vs_A_pocketB,1.0,18,18,31,32,0.6358,0.4414,0.821,0.5968,0.039,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
F2/F10,D_vs_B_pocketA,0.5,5,5,31,32,0.24,0.0,0.6,0.5756,-0.3356,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
F2/F10,D_vs_B_pocketA,1.0,19,19,31,32,0.5762,0.3906,0.7701,0.5756,0.0006,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/TYK2,D_vs_A_pocketB,0.5,7,7,31,32,0.9796,0.8776,1.0,0.7732,0.2064,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/TYK2,D_vs_A_pocketB,1.0,18,18,31,32,0.7778,0.608,0.9352,0.7732,0.0046,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/TYK2,D_vs_B_pocketA,0.5,7,7,31,32,0.3469,0.0816,0.6735,0.499,-0.1521,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/TYK2,D_vs_B_pocketA,1.0,19,19,31,32,0.5679,0.3739,0.759,0.499,0.0689,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/JAK2,D_vs_A_pocketB,0.5,6,6,32,32,0.6111,0.25,0.9167,0.5801,0.031,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/JAK2,D_vs_A_pocketB,1.0,16,16,32,32,0.5977,0.3906,0.7891,0.5801,0.0176,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/JAK2,D_vs_B_pocketA,0.5,4,4,32,32,0.6875,0.25,1.0,0.6943,-0.0068,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
JAK1/JAK2,D_vs_B_pocketA,1.0,14,14,32,32,0.7041,0.4897,0.8828,0.6943,0.0097,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARG/PPARA,D_vs_A_pocketB,0.5,4,4,32,31,0.3125,0.0,0.75,0.5,-0.1875,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARG/PPARA,D_vs_A_pocketB,1.0,17,17,32,31,0.4221,0.2249,0.609,0.5,-0.0779,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARG/PPARA,D_vs_B_pocketA,0.5,1,1,32,32,1.0,1.0,1.0,0.5947,0.4053,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARG/PPARA,D_vs_B_pocketA,1.0,16,16,32,32,0.4883,0.2852,0.6953,0.5947,-0.1064,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARA/PPARD,D_vs_A_pocketB,0.5,7,7,32,32,0.4286,0.1224,0.7551,0.6494,-0.2208,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARA/PPARD,D_vs_A_pocketB,1.0,21,21,32,32,0.576,0.4014,0.7506,0.6494,-0.0735,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARA/PPARD,D_vs_B_pocketA,0.5,5,5,32,32,0.4,0.0,0.8,0.5947,-0.1947,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
PPARA/PPARD,D_vs_B_pocketA,1.0,14,14,32,32,0.5,0.2855,0.7194,0.5947,-0.0947,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_affinity
F2/F10,D_vs_A_pocketB,0.5,5,5,31,32,0.76,0.4,1.0,0.6724,0.0876,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
F2/F10,D_vs_A_pocketB,1.0,18,18,31,32,0.6327,0.4475,0.8025,0.6724,-0.0397,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
F2/F10,D_vs_B_pocketA,0.5,5,5,31,32,0.28,0.0,0.68,0.628,-0.348,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
F2/F10,D_vs_B_pocketA,1.0,19,19,31,32,0.59,0.3989,0.7701,0.628,-0.038,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/TYK2,D_vs_A_pocketB,0.5,7,7,31,32,0.8571,0.5714,1.0,0.7329,0.1243,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/TYK2,D_vs_A_pocketB,1.0,18,18,31,32,0.713,0.5184,0.8765,0.7329,-0.0199,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/TYK2,D_vs_B_pocketA,0.5,7,7,31,32,0.449,0.1224,0.776,0.6694,-0.2204,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/TYK2,D_vs_B_pocketA,1.0,19,19,31,32,0.6371,0.4515,0.7978,0.6694,-0.0322,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/JAK2,D_vs_A_pocketB,0.5,6,6,32,32,0.6389,0.2778,1.0,0.5996,0.0393,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/JAK2,D_vs_A_pocketB,1.0,16,16,32,32,0.6406,0.4414,0.8243,0.5996,0.041,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/JAK2,D_vs_B_pocketA,0.5,4,4,32,32,0.75,0.25,1.0,0.75,0.0,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/JAK2,D_vs_B_pocketA,1.0,14,14,32,32,0.9031,0.7347,1.0,0.75,0.1531,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARG/PPARA,D_vs_A_pocketB,0.5,4,4,32,31,0.1875,0.0,0.5625,0.4395,-0.252,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARG/PPARA,D_vs_A_pocketB,1.0,17,17,32,31,0.4014,0.2007,0.5986,0.4395,-0.0381,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARG/PPARA,D_vs_B_pocketA,0.5,1,1,32,32,1.0,1.0,1.0,0.3965,0.6035,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARG/PPARA,D_vs_B_pocketA,1.0,16,16,32,32,0.3438,0.1522,0.5508,0.3965,-0.0527,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARA/PPARD,D_vs_A_pocketB,0.5,7,7,32,32,0.7551,0.449,1.0,0.624,0.1311,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARA/PPARD,D_vs_A_pocketB,1.0,21,21,32,32,0.6531,0.4807,0.8231,0.624,0.029,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARA/PPARD,D_vs_B_pocketA,0.5,5,5,32,32,0.36,0.08,0.8,0.5635,-0.2035,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
PPARA/PPARD,D_vs_B_pocketA,1.0,14,14,32,32,0.4796,0.2704,0.7041,0.5635,-0.0839,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_cnn_score
JAK1/TYK2,D_vs_A_pocketB,0.5,7,7,30,32,0.3673,0.0408,0.7347,0.6594,-0.292,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_independent_jak1_tyk2
JAK1/TYK2,D_vs_A_pocketB,1.0,18,18,30,32,0.608,0.4136,0.7963,0.6594,-0.0514,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_independent_jak1_tyk2
JAK1/TYK2,D_vs_B_pocketA,0.5,6,6,30,29,0.3056,0.0,0.6667,0.3172,-0.0117,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_independent_jak1_tyk2
JAK1/TYK2,D_vs_B_pocketA,1.0,18,18,30,29,0.3611,0.1882,0.5586,0.3172,0.0439,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,gnina_independent_jak1_tyk2
F2/F10,D_vs_A_pocketB,0.5,3,3,19,20,0.6667,0.1111,1.0,0.3921,0.2746,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
F2/F10,D_vs_A_pocketB,1.0,8,8,19,20,0.4688,0.1875,0.7656,0.3921,0.0766,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
F2/F10,D_vs_B_pocketA,0.5,2,2,19,20,0.5,0.0,1.0,0.5513,-0.0513,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
F2/F10,D_vs_B_pocketA,1.0,8,8,19,20,0.6094,0.2969,0.8754,0.5513,0.0581,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/TYK2,D_vs_A_pocketB,0.5,6,6,20,20,0.4861,0.1247,0.8333,0.6438,-0.1576,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/TYK2,D_vs_A_pocketB,1.0,9,9,20,20,0.5988,0.2963,0.8705,0.6438,-0.045,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/TYK2,D_vs_B_pocketA,0.5,5,5,20,20,0.24,0.0,0.6,0.475,-0.235,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/TYK2,D_vs_B_pocketA,1.0,8,8,20,20,0.3125,0.0781,0.6094,0.475,-0.1625,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/JAK2,D_vs_A_pocketB,0.5,3,3,20,20,0.3333,0.0,0.8889,0.6525,-0.3192,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/JAK2,D_vs_A_pocketB,1.0,9,9,20,20,0.6173,0.3333,0.8889,0.6525,-0.0352,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/JAK2,D_vs_B_pocketA,0.5,4,4,20,18,0.3125,0.0,0.75,0.6194,-0.3069,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
JAK1/JAK2,D_vs_B_pocketA,1.0,7,7,20,18,0.4898,0.1832,0.8367,0.6194,-0.1296,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARG/PPARA,D_vs_A_pocketB,0.5,7,7,20,19,0.5714,0.2245,0.8776,0.7026,-0.1312,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARG/PPARA,D_vs_A_pocketB,1.0,12,12,20,19,0.6319,0.3818,0.8542,0.7026,-0.0707,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARG/PPARA,D_vs_B_pocketA,0.5,2,2,20,20,0.25,0.0,1.0,0.535,-0.285,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARG/PPARA,D_vs_B_pocketA,1.0,11,11,20,20,0.5785,0.3223,0.8182,0.535,0.0435,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARA/PPARD,D_vs_A_pocketB,0.5,5,5,20,20,0.52,0.12,1.0,0.445,0.075,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
PPARA/PPARD,D_vs_A_pocketB,1.0,13,13,20,20,0.4083,0.1834,0.6509,0.445,-0.0367,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units,holdout_vina_20260727
