check,pair,got,expected,match
t2_summary_min,F2/F10,0.3448,0.3448,1
t2_ci_lo,F2/F10,0.2109,0.2109,1
t2_ci_hi,F2/F10,0.4773,0.4773,1
t2_auroc_D_vs_A_pocketB,F2/F10,0.4133,0.4133,1
t2_auroc_D_vs_B_pocketA,F2/F10,0.3448,0.3448,1
t2_D_vs_neither_mean,F2/F10,0.5188,0.5188,1
wp_delta_matched_minus_wrong,F2/F10,-0.0307,-0.0307,1
wp_matched_summary_min,F2/F10,0.3448,0.3448,1
wp_wrong_summary_min,F2/F10,0.3755,0.3755,1
t2_summary_min,JAK1/TYK2,0.3649,0.3649,1
t2_ci_lo,JAK1/TYK2,0.2306,0.2306,1
t2_ci_hi,JAK1/TYK2,0.503,0.503,1
t2_auroc_D_vs_A_pocketB,JAK1/TYK2,0.5751,0.5751,1
t2_auroc_D_vs_B_pocketA,JAK1/TYK2,0.3649,0.3649,1
t2_D_vs_neither_mean,JAK1/TYK2,0.7696,0.7696,1
wp_delta_matched_minus_wrong,JAK1/TYK2,-0.0645,-0.0645,1
wp_matched_summary_min,JAK1/TYK2,0.3649,0.3649,1
wp_wrong_summary_min,JAK1/TYK2,0.4294,0.4294,1
t2_summary_min,JAK1/JAK2,0.5884,0.5884,1
t2_ci_lo,JAK1/JAK2,0.4444,0.4444,1
t2_ci_hi,JAK1/JAK2,0.7246,0.7246,1
t2_auroc_D_vs_A_pocketB,JAK1/JAK2,0.5884,0.5884,1
t2_auroc_D_vs_B_pocketA,JAK1/JAK2,0.7275,0.7275,1
t2_D_vs_neither_mean,JAK1/JAK2,0.7299,0.7299,1
wp_delta_matched_minus_wrong,JAK1/JAK2,-0.019,-0.019,1
wp_matched_summary_min,JAK1/JAK2,0.5884,0.5884,1
wp_wrong_summary_min,JAK1/JAK2,0.6074,0.6074,1
t2_summary_min,PPARG/PPARA,0.6492,0.6492,1
t2_ci_lo,PPARG/PPARA,0.5045,0.5045,1
t2_ci_hi,PPARG/PPARA,0.7508,0.7508,1
t2_auroc_D_vs_A_pocketB,PPARG/PPARA,0.6492,0.6492,1
t2_auroc_D_vs_B_pocketA,PPARG/PPARA,0.7061,0.7061,1
t2_D_vs_neither_mean,PPARG/PPARA,0.6853,0.6853,1
wp_delta_matched_minus_wrong,PPARG/PPARA,0.0296,0.0296,1
wp_matched_summary_min,PPARG/PPARA,0.6492,0.6492,1
wp_wrong_summary_min,PPARG/PPARA,0.6196,0.6196,1
t2_summary_min,PPARA/PPARD,0.4463,0.4463,1
t2_ci_lo,PPARA/PPARD,0.2958,0.2958,1
t2_ci_hi,PPARA/PPARD,0.5841,0.5841,1
t2_auroc_D_vs_A_pocketB,PPARA/PPARD,0.6465,0.6465,1
t2_auroc_D_vs_B_pocketA,PPARA/PPARD,0.4463,0.4463,1
t2_D_vs_neither_mean,PPARA/PPARD,0.5647,0.5647,1
wp_delta_matched_minus_wrong,PPARA/PPARD,0.0117,0.0117,1
wp_matched_summary_min,PPARA/PPARD,0.4463,0.4463,1
wp_wrong_summary_min,PPARA/PPARD,0.4346,0.4346,1
all_production_reproduced,ALL,1,1,1
