channel,pair,n_scored_both_ends,n_missing_both_ends,missing_ligands,status_counts
vina_20260727,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""success"": 1094}"
vina_20260727,JAK1/TYK2,109,1,J1TYK2_092,
vina_20260727,JAK1/JAK2,110,0,,
vina_20260727,PPARG/PPARA,109,1,PGPA_030,
vina_20260727,PPARA/PPARD,110,0,,
vina_seed20260727,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""success"": 1094}"
vina_seed20260727,JAK1/TYK2,109,1,J1TYK2_092,
vina_seed20260727,JAK1/JAK2,110,0,,
vina_seed20260727,PPARG/PPARA,109,1,PGPA_030,
vina_seed20260727,PPARA/PPARD,110,0,,
vina_seed20260811,F2/F10,109,1,F2F10_080,"{""success"": 1098}"
vina_seed20260811,JAK1/TYK2,110,0,,
vina_seed20260811,JAK1/JAK2,110,0,,
vina_seed20260811,PPARG/PPARA,110,0,,
vina_seed20260811,PPARA/PPARD,110,0,,
vina_seed20260812,F2/F10,109,1,F2F10_080,"{""success"": 1099}"
vina_seed20260812,JAK1/TYK2,110,0,,
vina_seed20260812,JAK1/JAK2,110,0,,
vina_seed20260812,PPARG/PPARA,110,0,,
vina_seed20260812,PPARA/PPARD,110,0,,
vina_seed20260813,F2/F10,109,1,F2F10_080,"{""success"": 1097}"
vina_seed20260813,JAK1/TYK2,109,1,J1TYK2_092,
vina_seed20260813,JAK1/JAK2,110,0,,
vina_seed20260813,PPARG/PPARA,109,1,PGPA_030,
vina_seed20260813,PPARA/PPARD,110,0,,
vina_seed20260814,F2/F10,109,1,F2F10_080,"{""success"": 1098}"
vina_seed20260814,JAK1/TYK2,110,0,,
vina_seed20260814,JAK1/JAK2,110,0,,
vina_seed20260814,PPARG/PPARA,109,1,PGPA_030,
vina_seed20260814,PPARA/PPARD,110,0,,
vina_fiveseed_per_ligand_median,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""n_seeds"": 5, ""seeds"": ""20260727,20260811,20260812,20260813,20260814""}"
vina_fiveseed_per_ligand_median,JAK1/TYK2,109,1,J1TYK2_092,
vina_fiveseed_per_ligand_median,JAK1/JAK2,110,0,,
vina_fiveseed_per_ligand_median,PPARG/PPARA,109,1,PGPA_030,
vina_fiveseed_per_ligand_median,PPARA/PPARD,110,0,,
rtm_best9,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""success"": 1094}"
rtm_best9,JAK1/TYK2,109,1,J1TYK2_092,
rtm_best9,JAK1/JAK2,110,0,,
rtm_best9,PPARG/PPARA,109,1,PGPA_030,
rtm_best9,PPARA/PPARD,110,0,,
gnina_cnn_affinity,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""duplicate_ligand_target"": 0, ""n_ligand_target_rows"": 1094}"
gnina_cnn_affinity,JAK1/TYK2,109,1,J1TYK2_092,
gnina_cnn_affinity,JAK1/JAK2,110,0,,
gnina_cnn_affinity,PPARG/PPARA,109,1,PGPA_030,
gnina_cnn_affinity,PPARA/PPARD,110,0,,
gnina_cnn_score,F2/F10,107,3,F2F10_080;F2F10_105;F2F10_106,"{""duplicate_ligand_target"": 0, ""n_ligand_target_rows"": 1094}"
gnina_cnn_score,JAK1/TYK2,109,1,J1TYK2_092,
gnina_cnn_score,JAK1/JAK2,110,0,,
gnina_cnn_score,PPARG/PPARA,109,1,PGPA_030,
gnina_cnn_score,PPARA/PPARD,110,0,,
gnina_independent_jak1_tyk2,F2/F10,0,0,,"{""fail"": 8, ""skip"": 2, ""success"": 210}"
gnina_independent_jak1_tyk2,JAK1/TYK2,105,5,J1TYK2_033;J1TYK2_034;J1TYK2_039;J1TYK2_065;J1TYK2_092,
gnina_independent_jak1_tyk2,JAK1/JAK2,0,0,,
gnina_independent_jak1_tyk2,PPARG/PPARA,0,0,,
gnina_independent_jak1_tyk2,PPARA/PPARD,0,0,,
holdout_vina_20260727,F2/F10,59,1,HOF2F10_045,"{""skip"": 3, ""success"": 593}"
holdout_vina_20260727,JAK1/TYK2,60,0,,
holdout_vina_20260727,JAK1/JAK2,58,0,,
holdout_vina_20260727,PPARG/PPARA,59,1,HOPGPA_001,
holdout_vina_20260727,PPARA/PPARD,60,0,,
