pair,ligand,molecule_chembl_id,n_act_A,n_act_B,max_A,median_A,max_B,median_B,class_max,class_median,flip_max_to_median,n_documents,first_year,panel_pA,panel_pB,dump_missing_A,dump_missing_B,dump_max_matches_panel_A,dump_max_matches_panel_B
F2/F10,F2F10_001,CHEMBL1084908,1,1,8.64,8.64,5.19,5.19,A_only,A_only,0,1,2010,8.64,5.19,0,0,1,1
F2/F10,F2F10_002,CHEMBL111468,1,1,6.8,6.8,4.16,4.16,A_only,A_only,0,1,2004,6.80,4.16,0,0,1,1
F2/F10,F2F10_003,CHEMBL120842,1,1,6.84,6.84,4.58,4.58,A_only,A_only,0,1,1998,6.84,4.58,0,0,1,1
F2/F10,F2F10_004,CHEMBL179270,1,1,7.37,7.37,5.28,5.28,A_only,A_only,0,1,2005,7.37,5.28,0,0,1,1
F2/F10,F2F10_005,CHEMBL180857,1,1,7.32,7.32,5.35,5.35,A_only,A_only,0,1,2005,7.32,5.35,0,0,1,1
F2/F10,F2F10_006,CHEMBL1808951,2,1,6.52,6.52,5.31,5.31,A_only,A_only,0,2,2011,6.52,5.31,0,0,1,1
F2/F10,F2F10_007,CHEMBL1808954,2,1,6.54,6.54,5.22,5.22,A_only,A_only,0,2,2011,6.54,5.22,0,0,1,1
F2/F10,F2F10_008,CHEMBL1907778,1,1,6.9,6.9,4.06,4.06,A_only,A_only,0,1,2000,6.90,4.06,0,0,1,1
F2/F10,F2F10_009,CHEMBL1952402,1,1,6.58,6.58,5.11,5.11,A_only,A_only,0,1,2012,6.58,5.11,0,0,1,1
F2/F10,F2F10_010,CHEMBL209841,1,1,6.7,6.7,4.98,4.98,A_only,A_only,0,1,2006,6.70,4.98,0,0,1,1
F2/F10,F2F10_011,CHEMBL212310,1,1,6.72,6.72,4.89,4.89,A_only,A_only,0,1,2006,6.72,4.89,0,0,1,1
F2/F10,F2F10_012,CHEMBL238707,2,1,6.71,6.625,5.22,5.22,A_only,A_only,0,2,2007,6.71,5.22,0,0,1,1
F2/F10,F2F10_013,CHEMBL2441055,1,1,7.05,7.05,5.17,5.17,A_only,A_only,0,1,2013,7.05,5.17,0,0,1,1
F2/F10,F2F10_014,CHEMBL2441057,1,1,7.8,7.8,5.25,5.25,A_only,A_only,0,1,2013,7.80,5.25,0,0,1,1
F2/F10,F2F10_015,CHEMBL289395,2,1,10.25,10.25,4.02,4.02,A_only,A_only,0,2,1997,10.25,4.02,0,0,1,1
