pair,aggregation,n_dual,n_A_only,n_B_only,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,note
F2/F10,max_pchembl,31,32,32,0.4133,0.3448,0.3448,0.2104,0.4702,same frozen Vina; labels from dump max vs median at θ=6.0
F2/F10,median_pchembl,31,32,32,0.4133,0.3448,0.3448,0.2115,0.4753,same frozen Vina; labels from dump max vs median at θ=6.0
JAK1/TYK2,max_pchembl,31,32,32,0.5751,0.3649,0.3649,0.2324,0.5171,same frozen Vina; labels from dump max vs median at θ=6.0
JAK1/TYK2,median_pchembl,31,32,32,0.5751,0.3649,0.3649,0.2328,0.5031,same frozen Vina; labels from dump max vs median at θ=6.0
JAK1/JAK2,max_pchembl,32,32,32,0.5884,0.7275,0.5884,0.441,0.7201,same frozen Vina; labels from dump max vs median at θ=6.0
JAK1/JAK2,median_pchembl,32,32,32,0.5884,0.7275,0.5884,0.4392,0.7143,same frozen Vina; labels from dump max vs median at θ=6.0
PPARG/PPARA,max_pchembl,32,31,32,0.6492,0.7061,0.6492,0.5061,0.7537,same frozen Vina; labels from dump max vs median at θ=6.0
PPARG/PPARA,median_pchembl,32,31,32,0.6492,0.7061,0.6492,0.5087,0.7481,same frozen Vina; labels from dump max vs median at θ=6.0
PPARA/PPARD,max_pchembl,32,32,32,0.6465,0.4463,0.4463,0.3075,0.5902,same frozen Vina; labels from dump max vs median at θ=6.0
PPARA/PPARD,median_pchembl,32,31,32,0.6361,0.4463,0.4463,0.2963,0.5854,same frozen Vina; labels from dump max vs median at θ=6.0
