pair,gene_A,gene_B,n_both,n_theta6_dual,n_theta6_A_only,n_theta6_B_only,n_theta6_neither,n_strict_dual,n_strict_A_only,n_strict_B_only,n_strict_smallmol_dual,n_strict_smallmol_A_only,n_strict_smallmol_B_only
EGFR/HER2,EGFR,ERBB2,1751,1182,207,46,316,951,39,7,891,36,7
AChE/BChE,ACHE,BCHE,2537,986,483,225,843,687,189,78,533,176,65
PIK3CA/mTOR,PIK3CA,MTOR,2713,2002,266,236,209,1552,80,81,1431,71,78
F2/F10,F2,F10,1868,645,258,607,358,389,117,281,344,108,277
JAK1/TYK2,JAK1,TYK2,3503,2808,293,314,88,2097,94,117,1906,91,112
JAK1/JAK2,JAK1,JAK2,8513,7399,522,286,306,6316,113,53,5985,108,53
PPARG/PPARA,PPARG,PPARA,2058,802,322,413,521,445,85,102,440,82,91
PPARA/PPARD,PPARA,PPARD,1226,494,236,286,210,276,84,110,219,82,100
