name,front_frequency
LASALOCID,0.67
SLV-334,0.654
EPIGALOCATECHIN GALLATE,0.626
FOSIGOTIFATOR,0.616
FOSRAVUCONAZOLE,0.608
LANPROSTON,0.598
TAK-243,0.262
PF-05150122,0.096
AZD2207,0.08
TREPROSTINIL PHOSPHATE,0.036
ALTIRATINIB,0.028
RINETERKIB,0.026
FOSTRIECIN,0.026
BMS-986094,0.014
VERDINEXOR,0.01
GEMILUKAST,0.01
ARQ-736 FREE ACID,0.006
LY-2334737,0.006
VERCIRNON,0.006
NAMODENOSON,0.006
ASCORBYL GAMOLENATE,0.004
TELAGLENASTAT,0.002
MK-6592,0.002
IMMH-010,0.002
FOSDESDENOSINE SIPALABENAMIDE,0.002
PF-06952229,0.002
