,JNK1,JNK2,JNK3
JNK1,0.16439108666467192,0.16031689353047524,0.15298380261764008
JNK2,0.1603168935304752,0.1560498890851746,0.13791763079145802
JNK3,0.15298380261764008,0.13791763079145802,0.14928033554977493
