pair,target,ligand,gnina_mode1,n_modes,status,seconds
PIK3CA/mTOR,4L23,PM48_01,-9.60220814,9,success,111.4
PIK3CA/mTOR,4JT6,PM48_01,-9.19800282,9,success,112.9
PIK3CA/mTOR,4L23,PM48_02,-9.62600994,9,success,260.9
PIK3CA/mTOR,4JT6,PM48_02,-11.1371174,9,success,266.8
PIK3CA/mTOR,4L23,PM48_04,-9.54919529,9,success,250.1
PIK3CA/mTOR,4JT6,PM48_04,-10.4921255,9,success,253.3
PIK3CA/mTOR,4L23,PM48_03,-8.86550331,9,success,518.6
PIK3CA/mTOR,4JT6,PM48_03,-7.07286453,9,success,530.7
PIK3CA/mTOR,4L23,PM48_05,-8.50283527,9,success,311.1
PIK3CA/mTOR,4JT6,PM48_05,-9.22259426,9,success,344.6
PIK3CA/mTOR,4JT6,PM48_06,-9.1889782,9,success,358.4
PIK3CA/mTOR,4L23,PM48_06,-8.78913403,9,success,372.7
PIK3CA/mTOR,4L23,PM48_07,-7.58013821,9,success,379.4
PIK3CA/mTOR,4JT6,PM48_07,-10.7214451,9,success,370.3
PIK3CA/mTOR,4L23,PM48_08,-8.80877304,9,success,386.1
PIK3CA/mTOR,4JT6,PM48_08,-9.45754719,9,success,418.3
PIK3CA/mTOR,4L23,PM48_09,-8.53247547,9,success,341.4
PIK3CA/mTOR,4JT6,PM48_09,-8.77052307,9,success,334.2
PIK3CA/mTOR,4L23,PM48_11,-8.07606697,9,success,200.9
PIK3CA/mTOR,4JT6,PM48_11,-8.86904621,9,success,166.4
PIK3CA/mTOR,4L23,PM48_12,-8.98313427,9,success,250.9
PIK3CA/mTOR,4JT6,PM48_12,-8.9896698,9,success,252.1
PIK3CA/mTOR,4L23,PM48_13,-7.83469534,9,success,286.2
PIK3CA/mTOR,4JT6,PM48_13,-8.23744869,9,success,353.0
PIK3CA/mTOR,4L23,PM48_14,-8.46121025,9,success,249.2
PIK3CA/mTOR,4JT6,PM48_14,-8.91504002,9,success,247.8
PIK3CA/mTOR,4L23,PM48_10,-9.09125805,9,success,754.7
PIK3CA/mTOR,4JT6,PM48_10,-9.04766941,9,success,757.4
PIK3CA/mTOR,4L23,PM48_15,-8.1667757,9,success,266.7
PIK3CA/mTOR,4L23,PM48_16,-8.9616127,9,success,179.5
PIK3CA/mTOR,4JT6,PM48_16,-8.03707886,9,success,181.1
PIK3CA/mTOR,4L23,PM48_19,,0,fail,4.8
PIK3CA/mTOR,4JT6,PM48_19,,0,fail,6.1
PIK3CA/mTOR,4JT6,PM48_15,-8.10249996,9,success,231.3
PIK3CA/mTOR,4L23,PM48_17,-7.85411453,9,success,219.1
PIK3CA/mTOR,4JT6,PM48_17,-7.93256187,9,success,241.8
PIK3CA/mTOR,4L23,PM48_18,-8.95044327,9,success,232.0
PIK3CA/mTOR,4JT6,PM48_18,-8.3842802,9,success,212.9
PIK3CA/mTOR,4L23,PM48_21,-8.65182877,9,success,197.0
PIK3CA/mTOR,4JT6,PM48_21,-9.55756283,9,success,190.1
PIK3CA/mTOR,4L23,PM48_20,-8.86225319,9,success,375.9
PIK3CA/mTOR,4L23,PM48_22,-8.71221256,9,success,266.5
PIK3CA/mTOR,4JT6,PM48_20,-8.630373,9,success,430.0
PIK3CA/mTOR,4JT6,PM48_22,-7.46244431,9,success,270.5
PIK3CA/mTOR,4L23,PM48_24,-7.64305878,9,success,226.2
PIK3CA/mTOR,4L23,PM48_23,-7.78693628,9,success,304.0
PIK3CA/mTOR,4JT6,PM48_23,-8.22258759,9,success,304.8
PIK3CA/mTOR,4JT6,PM48_24,-6.98112822,9,success,227.4
PIK3CA/mTOR,4L23,PM48_25,-4.7392025,9,success,347.7
PIK3CA/mTOR,4JT6,PM48_25,-6.8919754,9,success,365.8
PIK3CA/mTOR,4L23,PM48_27,-7.18363523,9,success,290.8
PIK3CA/mTOR,4JT6,PM48_27,-9.3924942,9,success,316.8
PIK3CA/mTOR,4L23,PM48_26,-9.32777405,9,success,432.8
PIK3CA/mTOR,4JT6,PM48_26,-9.3317852,9,success,453.1
PIK3CA/mTOR,4L23,PM48_28,-8.44086456,9,success,397.5
PIK3CA/mTOR,4JT6,PM48_28,-8.9407711,9,success,451.4
PIK3CA/mTOR,4L23,PM48_29,-9.14169598,9,success,555.4
PIK3CA/mTOR,4JT6,PM48_29,-8.5934763,9,success,589.7
PIK3CA/mTOR,4L23,PM48_30,-7.11863232,9,success,635.9
PIK3CA/mTOR,4JT6,PM48_30,-7.56160116,9,success,615.0
PIK3CA/mTOR,4L23,PM48_32,-8.01561356,9,success,298.4
PIK3CA/mTOR,4JT6,PM48_32,-7.28880835,9,success,272.5
PIK3CA/mTOR,4L23,PM48_33,-8.94159508,9,success,239.1
PIK3CA/mTOR,4JT6,PM48_33,-9.78761578,9,success,243.3
PIK3CA/mTOR,4L23,PM48_31,-8.58998013,9,success,827.0
PIK3CA/mTOR,4JT6,PM48_31,-10.1012592,9,success,762.7
PIK3CA/mTOR,4L23,PM48_35,-8.68101788,9,success,275.6
PIK3CA/mTOR,4JT6,PM48_35,-9.17243385,9,success,289.0
PIK3CA/mTOR,4L23,PM48_34,-8.86041355,9,success,489.3
PIK3CA/mTOR,4JT6,PM48_34,-8.81362247,9,success,497.4
PIK3CA/mTOR,4L23,PM48_36,-8.19214058,9,success,344.1
PIK3CA/mTOR,4JT6,PM48_36,-8.40976048,9,success,350.4
PIK3CA/mTOR,4L23,PM48_39,-7.70947742,9,success,172.0
PIK3CA/mTOR,4JT6,PM48_39,-8.80364513,9,success,192.1
PIK3CA/mTOR,4L23,PM48_38,-8.56921291,9,success,361.9
PIK3CA/mTOR,4JT6,PM48_38,-9.94631004,9,success,307.8
PIK3CA/mTOR,4L23,PM48_40,-7.99421263,9,success,228.0
PIK3CA/mTOR,4JT6,PM48_40,-8.22336006,9,success,242.5
PIK3CA/mTOR,4L23,PM48_37,-6.81013298,9,success,680.2
PIK3CA/mTOR,4L23,PM48_41,-8.10282707,9,success,294.1
PIK3CA/mTOR,4JT6,PM48_37,-9.49555397,9,success,725.2
PIK3CA/mTOR,4JT6,PM48_41,-8.54922104,9,success,302.2
PIK3CA/mTOR,4L23,PM48_42,-8.79334831,9,success,309.9
PIK3CA/mTOR,4JT6,PM48_42,-8.19355774,9,success,304.0
PIK3CA/mTOR,4L23,PM48_43,-7.37516546,9,success,344.1
PIK3CA/mTOR,4L23,PM48_44,-8.33984947,9,success,300.3
PIK3CA/mTOR,4JT6,PM48_43,-9.91676044,9,success,342.5
PIK3CA/mTOR,4L23,PM48_45,-9.32205486,9,success,233.6
PIK3CA/mTOR,4JT6,PM48_44,-7.13982821,9,success,357.2
PIK3CA/mTOR,4JT6,PM48_45,-9.08296299,9,success,216.4
PIK3CA/mTOR,4L23,PM48_47,-7.69494295,9,success,172.2
PIK3CA/mTOR,4JT6,PM48_47,-7.92694712,9,success,167.5
PIK3CA/mTOR,4L23,PM48_46,-8.41744232,9,success,333.6
PIK3CA/mTOR,4L23,PM48_48,-8.70626736,9,success,233.5
PIK3CA/mTOR,4JT6,PM48_46,-9.44615555,9,success,336.2
PIK3CA/mTOR,4JT6,PM48_48,-8.58816242,9,success,233.2
