pair,engine,score,k,n_dual_top,n_A_only_top,n_B_only_top,n_neither_top,EF
EGFR/HER2,gnina_dock_mode1,score_mean,10,1,4,5,0,0.389
EGFR/HER2,gnina_dock_mode1,score_worst,10,0,4,6,0,0.0
PIK3CA/mTOR,gnina_dock_mode1,score_mean,10,5,2,2,1,1.306
PIK3CA/mTOR,gnina_dock_mode1,score_worst,10,6,1,2,1,1.567
