pair,engine,gnina_summary_min,gnina_D_vs_neither_mean,vina_summary_min_ref,vina_D_vs_neither_ref,delta_summary_min_vs_vina,verdict
EGFR/HER2,gnina_dock_mode1,0.2199,0.7825,0.4297,0.756,-0.2098,gap_remains
PIK3CA/mTOR,gnina_dock_mode1,0.6325,0.5694,0.6921,,-0.0596,gap_smaller_same_sign
