pair,engine,formulation,contrast,n_pos,n_neg,auroc,ci_lo,ci_hi
EGFR/HER2,gnina_dock_mode1,dualfourclass_directional,D_vs_A_pocketB,28,38,0.5930451127819549,0.44734492481203003,0.7359022556390977
EGFR/HER2,gnina_dock_mode1,dualfourclass_directional,D_vs_B_pocketA,28,32,0.26450892857142855,0.1484375,0.3939732142857143
EGFR/HER2,gnina_dock_mode1,dualfourclass_directional,summary_min,28,32,0.26450892857142855,,
EGFR/HER2,gnina_dock_mode1,conventional_dual_vs_neither,D_vs_neither_mean,28,11,0.737012987012987,0.5357142857142857,0.9025974025974026
