pair,target,ligand,seed,status,n_modes,mode1_energy,score_S,reason,seconds
F2/F10,2JKH,F2F10_001,20260814,success,9,-9.467,9.467,,96.0
F2/F10,2JKH,F2F10_002,20260814,success,9,-8.754,8.754,,114.2
F2/F10,2JKH,F2F10_003,20260814,success,9,-8.733,8.733,,70.8
F2/F10,2JKH,F2F10_004,20260814,success,9,-9.833,9.833,,100.6
F2/F10,2JKH,F2F10_005,20260814,success,9,-9.645,9.645,,113.0
F2/F10,2JKH,F2F10_006,20260814,success,9,-9.503,9.503,,136.2
F2/F10,2JKH,F2F10_007,20260814,success,9,-9.445,9.445,,138.2
F2/F10,2JKH,F2F10_008,20260814,success,9,-8.042,8.042,,110.1
F2/F10,2JKH,F2F10_009,20260814,success,9,-10.007,10.007,,126.1
F2/F10,2JKH,F2F10_010,20260814,success,9,-9.316,9.316,,169.4
F2/F10,2JKH,F2F10_011,20260814,success,9,-9.153,9.153,,154.2
F2/F10,2JKH,F2F10_012,20260814,success,9,-9.409,9.409,,105.3
F2/F10,2JKH,F2F10_013,20260814,success,9,-8.929,8.929,,45.1
F2/F10,2JKH,F2F10_014,20260814,success,9,-8.782,8.782,,46.0
F2/F10,2JKH,F2F10_015,20260814,success,9,-9.729,9.729,,101.7
F2/F10,2JKH,F2F10_016,20260814,success,9,-10.158,10.158,,41.7
F2/F10,2JKH,F2F10_017,20260814,success,9,-8.323,8.323,,44.3
F2/F10,2JKH,F2F10_018,20260814,success,9,-8.157,8.157,,205.3
F2/F10,2JKH,F2F10_019,20260814,success,9,-9.046,9.046,,248.0
F2/F10,2JKH,F2F10_020,20260814,success,8,-8.813,8.813,,213.6
F2/F10,2JKH,F2F10_021,20260814,success,9,-10.25,10.25,,70.3
F2/F10,2JKH,F2F10_022,20260814,success,9,-9.606,9.606,,54.0
F2/F10,2JKH,F2F10_023,20260814,success,9,-9.741,9.741,,98.4
F2/F10,2JKH,F2F10_024,20260814,success,9,-10.39,10.39,,156.9
F2/F10,2JKH,F2F10_025,20260814,success,9,-9.411,9.411,,99.9
