pair,target,ligand,seed,status,n_modes,mode1_energy,score_S,reason,seconds
F2/F10,2JKH,F2F10_001,20260812,success,9,-9.621,9.621,,83.6
F2/F10,2JKH,F2F10_002,20260812,success,9,-8.334,8.334,,109.4
F2/F10,2JKH,F2F10_003,20260812,success,9,-9.502,9.502,,70.4
F2/F10,2JKH,F2F10_004,20260812,success,9,-9.87,9.87,,96.4
F2/F10,2JKH,F2F10_005,20260812,success,9,-9.619,9.619,,105.5
F2/F10,2JKH,F2F10_006,20260812,success,9,-9.625,9.625,,130.6
F2/F10,2JKH,F2F10_007,20260812,success,9,-9.396,9.396,,138.3
F2/F10,2JKH,F2F10_008,20260812,success,9,-8.2,8.2,,104.0
F2/F10,2JKH,F2F10_009,20260812,success,9,-10.029,10.029,,105.0
F2/F10,2JKH,F2F10_010,20260812,success,9,-9.3,9.3,,167.4
F2/F10,2JKH,F2F10_011,20260812,success,9,-9.507,9.507,,130.6
F2/F10,2JKH,F2F10_012,20260812,success,9,-9.374,9.374,,103.2
F2/F10,2JKH,F2F10_013,20260812,success,9,-8.945,8.945,,45.4
F2/F10,2JKH,F2F10_014,20260812,success,9,-8.856,8.856,,47.8
F2/F10,2JKH,F2F10_015,20260812,success,9,-9.748,9.748,,87.9
F2/F10,2JKH,F2F10_016,20260812,success,9,-10.206,10.206,,38.7
F2/F10,2JKH,F2F10_017,20260812,success,9,-8.334,8.334,,44.3
F2/F10,2JKH,F2F10_018,20260812,success,9,-8.723,8.723,,198.6
F2/F10,2JKH,F2F10_019,20260812,success,9,-9.161,9.161,,210.2
F2/F10,2JKH,F2F10_020,20260812,success,9,-8.957,8.957,,214.4
F2/F10,2JKH,F2F10_021,20260812,success,9,-10.304,10.304,,67.7
F2/F10,2JKH,F2F10_022,20260812,success,9,-10.031,10.031,,53.0
F2/F10,2JKH,F2F10_023,20260812,success,9,-9.777,9.777,,83.3
F2/F10,2JKH,F2F10_024,20260812,success,9,-9.497,9.497,,152.2
F2/F10,2JKH,F2F10_025,20260812,success,9,-9.594,9.594,,100.5
F2/F10,2JKH,F2F10_026,20260812,success,9,-8.624,8.624,,118.2
F2/F10,2JKH,F2F10_027,20260812,success,9,-8.137,8.137,,224.4
F2/F10,2JKH,F2F10_028,20260812,success,9,-8.225,8.225,,37.7
F2/F10,2JKH,F2F10_029,20260812,success,9,-9.227,9.227,,42.6
F2/F10,2JKH,F2F10_030,20260812,success,9,-9.148,9.148,,37.5
F2/F10,2JKH,F2F10_031,20260812,success,9,-8.578,8.578,,22.3
F2/F10,2JKH,F2F10_032,20260812,success,8,-10.315,10.315,,38.8
