pair,target,ligand,seed,mode1_energy,score_S,status
F2/F10,2JKH,F2F10_001,20260812,-9.621,9.621,success
F2/F10,2JKH,F2F10_002,20260812,-8.334,8.334,success
F2/F10,2JKH,F2F10_003,20260812,-9.502,9.502,success
F2/F10,2JKH,F2F10_004,20260812,-9.87,9.87,success
F2/F10,2JKH,F2F10_005,20260812,-9.619,9.619,success
F2/F10,2JKH,F2F10_006,20260812,-9.625,9.625,success
F2/F10,2JKH,F2F10_007,20260812,-9.396,9.396,success
F2/F10,2JKH,F2F10_008,20260812,-8.2,8.2,success
F2/F10,2JKH,F2F10_009,20260812,-10.029,10.029,success
F2/F10,2JKH,F2F10_010,20260812,-9.3,9.3,success
F2/F10,2JKH,F2F10_011,20260812,-9.507,9.507,success
F2/F10,2JKH,F2F10_012,20260812,-9.374,9.374,success
F2/F10,2JKH,F2F10_013,20260812,-8.945,8.945,success
F2/F10,2JKH,F2F10_014,20260812,-8.856,8.856,success
F2/F10,2JKH,F2F10_015,20260812,-9.748,9.748,success
F2/F10,2JKH,F2F10_016,20260812,-10.206,10.206,success
F2/F10,2JKH,F2F10_017,20260812,-8.334,8.334,success
F2/F10,2JKH,F2F10_018,20260812,-8.723,8.723,success
F2/F10,2JKH,F2F10_019,20260812,-9.161,9.161,success
F2/F10,2JKH,F2F10_020,20260812,-8.957,8.957,success
F2/F10,2JKH,F2F10_021,20260812,-10.304,10.304,success
F2/F10,2JKH,F2F10_022,20260812,-10.031,10.031,success
F2/F10,2JKH,F2F10_023,20260812,-9.777,9.777,success
F2/F10,2JKH,F2F10_024,20260812,-9.497,9.497,success
F2/F10,2JKH,F2F10_025,20260812,-9.594,9.594,success
F2/F10,2JKH,F2F10_026,20260812,-8.624,8.624,success
F2/F10,2JKH,F2F10_027,20260812,-8.137,8.137,success
F2/F10,2JKH,F2F10_028,20260812,-8.225,8.225,success
F2/F10,2JKH,F2F10_029,20260812,-9.227,9.227,success
F2/F10,2JKH,F2F10_030,20260812,-9.148,9.148,success
F2/F10,2JKH,F2F10_031,20260812,-8.578,8.578,success
F2/F10,2JKH,F2F10_032,20260812,-10.315,10.315,success
F2/F10,2JKH,F2F10_033,20260812,-8.164,8.164,success
F2/F10,2JKH,F2F10_034,20260812,-9.702,9.702,success
F2/F10,2JKH,F2F10_035,20260812,-8.54,8.54,success
F2/F10,2JKH,F2F10_036,20260812,-9.025,9.025,success
F2/F10,2JKH,F2F10_037,20260812,-9.126,9.126,success
F2/F10,2JKH,F2F10_038,20260812,-9.509,9.509,success
F2/F10,2JKH,F2F10_039,20260812,-9.207,9.207,success
F2/F10,2JKH,F2F10_040,20260812,-8.393,8.393,success
F2/F10,2JKH,F2F10_041,20260812,-9.238,9.238,success
