pair,target,ligand,seed,mode1_energy,score_S,status
F2/F10,2JKH,F2F10_001,20260813,-9.609,9.609,success
F2/F10,2JKH,F2F10_002,20260813,-8.756,8.756,success
F2/F10,2JKH,F2F10_003,20260813,-9.111,9.111,success
F2/F10,2JKH,F2F10_004,20260813,-9.792,9.792,success
F2/F10,2JKH,F2F10_005,20260813,-9.656,9.656,success
F2/F10,2JKH,F2F10_006,20260813,-9.674,9.674,success
F2/F10,2JKH,F2F10_007,20260813,-9.357,9.357,success
F2/F10,2JKH,F2F10_008,20260813,-7.847,7.847,success
F2/F10,2JKH,F2F10_009,20260813,-9.939,9.939,success
F2/F10,2JKH,F2F10_010,20260813,-9.303,9.303,success
F2/F10,2JKH,F2F10_011,20260813,-9.429,9.429,success
F2/F10,2JKH,F2F10_012,20260813,-9.32,9.32,success
F2/F10,2JKH,F2F10_013,20260813,-8.923,8.923,success
F2/F10,2JKH,F2F10_014,20260813,-8.834,8.834,success
F2/F10,2JKH,F2F10_015,20260813,-9.688,9.688,success
F2/F10,2JKH,F2F10_016,20260813,-10.165,10.165,success
F2/F10,2JKH,F2F10_017,20260813,-8.187,8.187,success
F2/F10,2JKH,F2F10_018,20260813,-8.289,8.289,success
F2/F10,2JKH,F2F10_019,20260813,-9.178,9.178,success
F2/F10,2JKH,F2F10_020,20260813,-8.941,8.941,success
F2/F10,2JKH,F2F10_021,20260813,-10.342,10.342,success
F2/F10,2JKH,F2F10_022,20260813,-9.738,9.738,success
F2/F10,2JKH,F2F10_023,20260813,-9.771,9.771,success
F2/F10,2JKH,F2F10_024,20260813,-9.911,9.911,success
F2/F10,2JKH,F2F10_025,20260813,-9.369,9.369,success
F2/F10,2JKH,F2F10_026,20260813,-9.913,9.913,success
F2/F10,2JKH,F2F10_027,20260813,-8.422,8.422,success
F2/F10,2JKH,F2F10_028,20260813,-8.237,8.237,success
F2/F10,2JKH,F2F10_029,20260813,-9.253,9.253,success
F2/F10,2JKH,F2F10_030,20260813,-9.082,9.082,success
F2/F10,2JKH,F2F10_031,20260813,-8.66,8.66,success
F2/F10,2JKH,F2F10_032,20260813,-10.297,10.297,success
F2/F10,2JKH,F2F10_033,20260813,-8.311,8.311,success
F2/F10,2JKH,F2F10_034,20260813,-9.75,9.75,success
F2/F10,2JKH,F2F10_035,20260813,-8.596,8.596,success
F2/F10,2JKH,F2F10_036,20260813,-9.398,9.398,success
F2/F10,2JKH,F2F10_037,20260813,-9.041,9.041,success
F2/F10,2JKH,F2F10_038,20260813,-9.477,9.477,success
F2/F10,2JKH,F2F10_039,20260813,-9.181,9.181,success
F2/F10,2JKH,F2F10_040,20260813,-8.177,8.177,success
F2/F10,2JKH,F2F10_041,20260813,-10.227,10.227,success
F2/F10,2JKH,F2F10_042,20260813,-10.044,10.044,success
F2/F10,2JKH,F2F10_043,20260813,-10.042,10.042,success
F2/F10,2JKH,F2F10_044,20260813,-9.569,9.569,success
F2/F10,2JKH,F2F10_045,20260813,-8.542,8.542,success
F2/F10,2JKH,F2F10_046,20260813,-9.862,9.862,success
