pair,target,ligand,seed,status,n_modes,mode1_energy,score_S,reason,seconds
F2/F10,2JKH,F2F10_001,20260811,success,9,-9.372,9.372,,86.2
F2/F10,2JKH,F2F10_002,20260811,success,9,-8.543,8.543,,108.9
F2/F10,2JKH,F2F10_003,20260811,success,9,-8.793,8.793,,73.6
F2/F10,2JKH,F2F10_004,20260811,success,9,-9.904,9.904,,108.0
F2/F10,2JKH,F2F10_005,20260811,success,9,-9.81,9.81,,105.7
F2/F10,2JKH,F2F10_006,20260811,success,9,-9.593,9.593,,150.8
F2/F10,2JKH,F2F10_007,20260811,success,9,-9.373,9.373,,161.9
F2/F10,2JKH,F2F10_008,20260811,success,9,-8.096,8.096,,102.7
F2/F10,2JKH,F2F10_009,20260811,success,9,-9.996,9.996,,108.8
F2/F10,2JKH,F2F10_010,20260811,success,9,-9.318,9.318,,165.8
F2/F10,2JKH,F2F10_011,20260811,success,9,-9.31,9.31,,133.2
F2/F10,2JKH,F2F10_012,20260811,success,9,-9.607,9.607,,122.4
F2/F10,2JKH,F2F10_013,20260811,success,9,-8.999,8.999,,52.0
F2/F10,2JKH,F2F10_014,20260811,success,9,-8.832,8.832,,56.2
F2/F10,2JKH,F2F10_015,20260811,success,9,-9.612,9.612,,87.6
F2/F10,2JKH,F2F10_016,20260811,success,9,-10.207,10.207,,46.5
F2/F10,2JKH,F2F10_017,20260811,success,9,-7.423,7.423,,45.0
F2/F10,2JKH,F2F10_018,20260811,success,9,-8.279,8.279,,193.8
F2/F10,2JKH,F2F10_019,20260811,success,9,-9.174,9.174,,207.7
F2/F10,2JKH,F2F10_020,20260811,success,9,-8.823,8.823,,212.6
F2/F10,2JKH,F2F10_021,20260811,success,9,-10.932,10.932,,89.1
F2/F10,2JKH,F2F10_022,20260811,success,9,-10.136,10.136,,66.2
F2/F10,2JKH,F2F10_023,20260811,success,9,-9.773,9.773,,84.7
F2/F10,2JKH,F2F10_024,20260811,success,9,-10.402,10.402,,186.9
F2/F10,2JKH,F2F10_025,20260811,success,9,-9.359,9.359,,122.6
F2/F10,2JKH,F2F10_026,20260811,success,9,-8.949,8.949,,145.3
F2/F10,2JKH,F2F10_027,20260811,success,9,-9.225,9.225,,223.5
F2/F10,2JKH,F2F10_028,20260811,success,9,-8.217,8.217,,50.7
F2/F10,2JKH,F2F10_029,20260811,success,9,-9.26,9.26,,55.1
F2/F10,2JKH,F2F10_030,20260811,success,9,-8.942,8.942,,42.5
F2/F10,2JKH,F2F10_031,20260811,success,9,-8.672,8.672,,28.6
F2/F10,2JKH,F2F10_032,20260811,success,9,-10.262,10.262,,45.3
F2/F10,2JKH,F2F10_033,20260811,success,9,-8.209,8.209,,192.7
F2/F10,2JKH,F2F10_034,20260811,success,9,-9.697,9.697,,56.1
F2/F10,2JKH,F2F10_035,20260811,success,9,-8.462,8.462,,126.3
F2/F10,2JKH,F2F10_036,20260811,success,9,-9.065,9.065,,66.1
F2/F10,2JKH,F2F10_037,20260811,success,9,-9.031,9.031,,205.0
F2/F10,2JKH,F2F10_038,20260811,success,9,-9.477,9.477,,61.5
F2/F10,2JKH,F2F10_039,20260811,success,9,-8.917,8.917,,101.8
F2/F10,2JKH,F2F10_040,20260811,success,9,-8.423,8.423,,112.1
F2/F10,2JKH,F2F10_041,20260811,success,9,-10.101,10.101,,252.7
F2/F10,2JKH,F2F10_042,20260811,success,9,-10.013,10.013,,37.9
F2/F10,2JKH,F2F10_043,20260811,success,9,-10.008,10.008,,90.6
F2/F10,2JKH,F2F10_044,20260811,success,9,-9.582,9.582,,109.7
F2/F10,2JKH,F2F10_045,20260811,success,9,-8.681,8.681,,159.5
F2/F10,2JKH,F2F10_046,20260811,success,9,-9.872,9.872,,96.1
F2/F10,2JKH,F2F10_047,20260811,success,9,-10.223,10.223,,61.2
F2/F10,2JKH,F2F10_048,20260811,success,9,-8.782,8.782,,57.7
F2/F10,2JKH,F2F10_049,20260811,success,9,-9.35,9.35,,96.6
F2/F10,2JKH,F2F10_050,20260811,success,9,-8.808,8.808,,91.7
