pair,target,ligand,seed,mode1_energy,score_S,status
F2/F10,2JKH,F2F10_001,20260811,-9.372,9.372,success
F2/F10,2JKH,F2F10_002,20260811,-8.543,8.543,success
F2/F10,2JKH,F2F10_003,20260811,-8.793,8.793,success
F2/F10,2JKH,F2F10_004,20260811,-9.904,9.904,success
F2/F10,2JKH,F2F10_005,20260811,-9.81,9.81,success
F2/F10,2JKH,F2F10_006,20260811,-9.593,9.593,success
F2/F10,2JKH,F2F10_007,20260811,-9.373,9.373,success
F2/F10,2JKH,F2F10_008,20260811,-8.096,8.096,success
F2/F10,2JKH,F2F10_009,20260811,-9.996,9.996,success
F2/F10,2JKH,F2F10_010,20260811,-9.318,9.318,success
F2/F10,2JKH,F2F10_011,20260811,-9.31,9.31,success
F2/F10,2JKH,F2F10_012,20260811,-9.607,9.607,success
F2/F10,2JKH,F2F10_013,20260811,-8.999,8.999,success
F2/F10,2JKH,F2F10_014,20260811,-8.832,8.832,success
F2/F10,2JKH,F2F10_015,20260811,-9.612,9.612,success
F2/F10,2JKH,F2F10_016,20260811,-10.207,10.207,success
F2/F10,2JKH,F2F10_017,20260811,-7.423,7.423,success
F2/F10,2JKH,F2F10_018,20260811,-8.279,8.279,success
F2/F10,2JKH,F2F10_019,20260811,-9.174,9.174,success
F2/F10,2JKH,F2F10_020,20260811,-8.823,8.823,success
F2/F10,2JKH,F2F10_021,20260811,-10.932,10.932,success
F2/F10,2JKH,F2F10_022,20260811,-10.136,10.136,success
F2/F10,2JKH,F2F10_023,20260811,-9.773,9.773,success
F2/F10,2JKH,F2F10_024,20260811,-10.402,10.402,success
F2/F10,2JKH,F2F10_025,20260811,-9.359,9.359,success
F2/F10,2JKH,F2F10_026,20260811,-8.949,8.949,success
F2/F10,2JKH,F2F10_027,20260811,-9.225,9.225,success
F2/F10,2JKH,F2F10_028,20260811,-8.217,8.217,success
F2/F10,2JKH,F2F10_029,20260811,-9.26,9.26,success
F2/F10,2JKH,F2F10_030,20260811,-8.942,8.942,success
F2/F10,2JKH,F2F10_031,20260811,-8.672,8.672,success
F2/F10,2JKH,F2F10_032,20260811,-10.262,10.262,success
F2/F10,2JKH,F2F10_033,20260811,-8.209,8.209,success
F2/F10,2JKH,F2F10_034,20260811,-9.697,9.697,success
F2/F10,2JKH,F2F10_035,20260811,-8.462,8.462,success
F2/F10,2JKH,F2F10_036,20260811,-9.065,9.065,success
F2/F10,2JKH,F2F10_037,20260811,-9.031,9.031,success
F2/F10,2JKH,F2F10_038,20260811,-9.477,9.477,success
F2/F10,2JKH,F2F10_039,20260811,-8.917,8.917,success
F2/F10,2JKH,F2F10_040,20260811,-8.423,8.423,success
F2/F10,2JKH,F2F10_041,20260811,-10.101,10.101,success
F2/F10,2JKH,F2F10_042,20260811,-10.013,10.013,success
F2/F10,2JKH,F2F10_043,20260811,-10.008,10.008,success
F2/F10,2JKH,F2F10_044,20260811,-9.582,9.582,success
F2/F10,2JKH,F2F10_045,20260811,-8.681,8.681,success
F2/F10,2JKH,F2F10_046,20260811,-9.872,9.872,success
F2/F10,2JKH,F2F10_047,20260811,-10.223,10.223,success
F2/F10,2JKH,F2F10_048,20260811,-8.782,8.782,success
F2/F10,2JKH,F2F10_049,20260811,-9.35,9.35,success
F2/F10,2JKH,F2F10_050,20260811,-8.808,8.808,success
