panel_id,class,molecule_chembl_id,reason,heavy_atoms,mw,rotatable_bonds,clogp
MXB012,B_only,CHEMBL4871228,embed_fail,67,975.55,19,3.034
MXB013,B_only,CHEMBL2159743,embed_fail,194,2748.09,92,-11.026
MXD022,dual,CHEMBL4465826,embed_fail,191,2682.05,87,-8.191
