panel_id,molecule_chembl_id,class,target,pdb,pchembl_MCL1,pchembl_BCL2L1,status,vina_mode1,n_modes,reason,torsdof,exhaustiveness_used
MXD024,CHEMBL3126120,dual,BCL2L1,3WIZ,7.06,8.43,success,-10.22,9,,20,4
MXD024,CHEMBL3126120,dual,MCL1,3WIY,7.06,8.43,success,-9.939,9,,20,4
MXA005,CHEMBL4785269,A_only,MCL1,3WIY,6.25,5.96,success,-9.567,9,,8,8
MXA005,CHEMBL4785269,A_only,BCL2L1,3WIZ,6.25,5.96,success,-9.146,9,,8,8
MXA006,CHEMBL5079843,A_only,MCL1,3WIY,6.03,5.77,success,-8.274,9,,11,8
MXA006,CHEMBL5079843,A_only,BCL2L1,3WIZ,6.03,5.77,success,-8.369,9,,11,8
MXA004,CHEMBL3785689,A_only,BCL2L1,3WIZ,8.25,5.35,success,-8.624,9,,13,8
MXA004,CHEMBL3785689,A_only,MCL1,3WIY,8.25,5.35,success,-8.509,9,,13,8
MXA007,CHEMBL3736193,A_only,BCL2L1,3WIZ,6.2,5.92,success,-8.236,9,,14,8
MXA007,CHEMBL3736193,A_only,MCL1,3WIY,6.2,5.92,success,-10.12,9,,14,8
MXA008,CHEMBL3786327,A_only,MCL1,3WIY,8.92,5.96,success,-9.631,9,,13,8
MXA008,CHEMBL3786327,A_only,BCL2L1,3WIZ,8.92,5.96,success,-8.871,9,,13,8
MXA009,CHEMBL3769721,A_only,MCL1,3WIY,8.68,5.05,success,-7.872,9,,9,8
MXA009,CHEMBL3769721,A_only,BCL2L1,3WIZ,8.68,5.05,success,-7.238,9,,9,8
MXA012,CHEMBL1331211,A_only,MCL1,3WIY,6.75,5.11,success,-8.572,9,,8,8
MXA012,CHEMBL1331211,A_only,BCL2L1,3WIZ,6.75,5.11,success,-7.246,9,,8,8
MXA011,CHEMBL5078562,A_only,BCL2L1,3WIZ,6.11,5.77,success,-8.107,9,,11,8
MXA011,CHEMBL5078562,A_only,MCL1,3WIY,6.11,5.77,success,-8.153,9,,11,8
MXA013,CHEMBL5799891,A_only,MCL1,3WIY,6.77,5.1,success,-9.172,9,,9,8
MXA013,CHEMBL5799891,A_only,BCL2L1,3WIZ,6.77,5.1,success,-6.862,9,,9,8
MXA015,CHEMBL5809497,A_only,BCL2L1,3WIZ,7.96,5.03,success,-8.11,9,,10,8
MXA015,CHEMBL5809497,A_only,MCL1,3WIY,7.96,5.03,success,-10.59,9,,10,8
MXA016,CHEMBL3780576,A_only,MCL1,3WIY,6.31,5.22,success,-9.151,9,,10,8
MXA016,CHEMBL3780576,A_only,BCL2L1,3WIZ,6.31,5.22,success,-7.007,9,,10,8
MXA010,CHEMBL4082941,A_only,MCL1,3WIY,9.51,4.96,success,-7.82,9,,9,8
MXA010,CHEMBL4082941,A_only,BCL2L1,3WIZ,9.51,4.96,success,-7.383,9,,9,8
MXA018,CHEMBL4475729,A_only,MCL1,3WIY,6.24,5.18,success,-9.738,9,,10,8
MXA017,CHEMBL5975167,A_only,BCL2L1,3WIZ,8.0,4.86,success,-7.752,9,,11,8
MXA017,CHEMBL5975167,A_only,MCL1,3WIY,8.0,4.86,success,-10.28,9,,11,8
MXA018,CHEMBL4475729,A_only,BCL2L1,3WIZ,6.24,5.18,success,-8.592,9,,10,8
MXA020,CHEMBL5086378,A_only,MCL1,3WIY,6.31,4.48,success,-8.79,9,,8,8
MXA020,CHEMBL5086378,A_only,BCL2L1,3WIZ,6.31,4.48,success,-7.014,9,,8,8
MXA021,CHEMBL2314516,A_only,MCL1,3WIY,6.43,5.0,success,-10.93,9,,7,8
MXA021,CHEMBL2314516,A_only,BCL2L1,3WIZ,6.43,5.0,success,-7.468,9,,7,8
MXA014,CHEMBL4067929,A_only,BCL2L1,3WIZ,10.05,4.58,success,-7.005,9,,9,8
MXA014,CHEMBL4067929,A_only,MCL1,3WIY,10.05,4.58,success,-7.897,9,,9,8
MXA023,CHEMBL4860820,A_only,MCL1,3WIY,6.66,5.64,success,-10.56,9,,8,8
MXA023,CHEMBL4860820,A_only,BCL2L1,3WIZ,6.66,5.64,success,-6.679,9,,8,8
MXA022,CHEMBL3771322,A_only,MCL1,3WIY,7.39,4.57,success,-10.41,9,,11,8
MXA022,CHEMBL3771322,A_only,BCL2L1,3WIZ,7.39,4.57,success,-7.223,9,,11,8
