panel_id,molecule_chembl_id,class,vina_3WIY,vina_3WIZ,score_mean,score_worst
MXA001,CHEMBL3426322,A_only,-9.415,-6.321,7.867999999999999,6.321
MXA002,CHEMBL4878113,A_only,-10.62,-7.342,8.981,7.342
MXA003,CHEMBL2314173,A_only,-9.946,-7.059,8.5025,7.059
MXA004,CHEMBL3785689,A_only,-8.509,-8.624,8.566500000000001,8.509
MXA005,CHEMBL4785269,A_only,-9.567,-9.146,9.3565,9.146
MXA006,CHEMBL5079843,A_only,-8.274,-8.369,8.3215,8.274
MXA007,CHEMBL3736193,A_only,-10.12,-8.236,9.178,8.236
MXA008,CHEMBL3786327,A_only,-9.631,-8.871,9.251000000000001,8.871
MXA009,CHEMBL3769721,A_only,-7.872,-7.238,7.555,7.238
MXA010,CHEMBL4082941,A_only,-7.82,-7.383,7.6015,7.383
MXA011,CHEMBL5078562,A_only,-8.153,-8.107,8.129999999999999,8.107
MXA012,CHEMBL1331211,A_only,-8.572,-7.246,7.909,7.246
MXA013,CHEMBL5799891,A_only,-9.172,-6.862,8.017,6.862
MXA014,CHEMBL4067929,A_only,-7.897,-7.005,7.4510000000000005,7.005
MXA015,CHEMBL5809497,A_only,-10.59,-8.11,9.35,8.11
MXA016,CHEMBL3780576,A_only,-9.151,-7.007,8.079,7.007
MXA017,CHEMBL5975167,A_only,-10.28,-7.752,9.016,7.752
MXA018,CHEMBL4475729,A_only,-9.738,-8.592,9.165,8.592
MXA019,CHEMBL3735206,A_only,-8.666,-8.152,8.408999999999999,8.152
MXA020,CHEMBL5086378,A_only,-8.79,-7.014,7.901999999999999,7.014
MXA021,CHEMBL2314516,A_only,-10.93,-7.468,9.199,7.468
MXA022,CHEMBL3771322,A_only,-10.41,-7.223,8.8165,7.223
MXA023,CHEMBL4860820,A_only,-10.56,-6.679,8.6195,6.679
MXA024,CHEMBL4868913,A_only,-10.59,-8.982,9.786,8.982
MXB001,CHEMBL3900077,B_only,-7.911,-9.146,8.528500000000001,7.911
MXB002,CHEMBL376408,B_only,-7.842,-9.538,8.69,7.842
MXB003,CHEMBL3342191,B_only,-9.723,-8.72,9.2215,8.72
MXB004,CHEMBL4228713,B_only,-8.373,-9.742,9.057500000000001,8.373
