target,pdb,chain,ligand_resname,ligand_resid,n_crystal_heavy,n_modes,rmsd_top1,rmsd_best_of_top3,rmsd_best_of_9,top1_pass_lt_2,best_top3_pass_lt_2,best9_pass_lt_2,ligand_prep,exhaustiveness,seed,rmsd_method,note,prepared_at_utc
MCL1,3WIY,A,LC6,501,63,9,1.689,1.689,1.677,1,1,1,meeko,8,20260727,legacy_hungarian_coordinate_diagnostic_not_topology_aware,primary; entity1 chain A; Tanaka compound 10; not a formal pose-gold result,2026-08-27T02:27:14Z
BCL2L1,3WIZ,A,LC6,501,63,9,4.17,2.011,2.011,0,0,0,meeko,8,20260727,legacy_hungarian_coordinate_diagnostic_not_topology_aware,primary; entity1 chain A; Tanaka compound 10; not a formal pose-gold result,2026-08-27T02:37:26Z
