pair,n_scaffolds,n_molecules,pocket_matched_summary_min,scaffold_boot_ci_lo,scaffold_boot_ci_hi,n_boot_ok
EGFR/HER2,89,110,0.4297,0.2863,0.5942,2000
AChE/BChE,81,95,0.6058,0.4229,0.7379,2000
PIK3CA/PIK3CB,80,99,0.5,0.3268,0.6601,2000
PIK3CA/mTOR,45,48,0.6921,0.4656,0.8047,2000
