pair,set,n_dual,n_A_only,n_B_only,n_boot_ok,matched_D_vs_A,matched_D_vs_B,matched_summary_min,matched_ci_lo,matched_ci_hi,wrong_D_vs_A,wrong_D_vs_B,wrong_summary_min,delta_matched_minus_wrong,delta_ci_lo,delta_ci_hi,ci_excludes_zero,weaker_arm_switched
EGFR/HER2,main_panel,28,37,32,2000,0.6564,0.3237,0.3237,0.3237,,0.6776,0.2679,0.2679,0.0558,-0.0368,0.1551,False,0
JAK1/JAK2,main_panel,32,32,32,2000,0.5884,0.7275,0.5884,0.5884,,0.6074,0.7231,0.6074,-0.0190,-0.0898,0.0527,False,0
JAK1/TYK2,main_panel,31,32,32,2000,0.5751,0.3649,0.3649,0.3649,,0.5151,0.4294,0.4294,-0.0645,-0.1562,0.0323,False,0
PIK3CA/mTOR,main_panel,18,14,12,2000,0.7143,0.6921,0.6921,0.6921,,0.7103,0.6019,0.6019,0.0903,-0.1148,0.2639,False,0
AChE/BChE,main_panel,27,26,28,2000,0.6524,0.6058,0.6058,0.6058,,0.4288,0.5582,0.4288,0.1770,0.0528,0.2906,True,1
F2/F10,main_panel,31,32,32,2000,0.4133,0.3448,0.3448,0.3448,,0.4506,0.3755,0.3755,-0.0307,-0.1144,0.0423,False,0
PPARG/PPARA,main_panel,32,31,32,2000,0.6492,0.7061,0.6492,0.6492,,0.6512,0.6196,0.6196,0.0296,-0.0803,0.1563,False,1
PPARA/PPARD,main_panel,32,32,32,2000,0.6465,0.4463,0.4463,0.4463,,0.4346,0.4990,0.4346,0.0117,-0.0859,0.1416,False,1
JAK1/JAK2,unused_pool_holdout,20,20,18,2000,0.6525,0.6194,0.6194,0.4167,0.7417,0.6288,0.6111,0.6111,0.0083,-0.0806,0.1120,False,0
JAK1/TYK2,unused_pool_holdout,20,20,20,2000,0.6438,0.4750,0.4750,0.2924,0.6575,0.6500,0.4500,0.4500,0.0250,-0.0850,0.1350,False,0
PIK3CA/mTOR,unused_pool_holdout,20,20,20,2000,0.8600,0.7650,0.7650,0.6050,0.8900,0.7875,0.8575,0.7875,-0.0225,-0.1175,0.0726,False,1
AChE/BChE,unused_pool_holdout,20,20,20,2000,0.6150,0.6175,0.6150,0.4124,0.7551,0.5900,0.6525,0.5900,0.0250,-0.0900,0.1075,False,0
F2/F10,unused_pool_holdout,19,20,20,2000,0.3921,0.5513,0.3921,0.2263,0.5605,0.6987,0.4711,0.4711,-0.0789,-0.2474,0.0724,False,1
PPARG/PPARA,unused_pool_holdout,20,19,20,2000,0.7026,0.5350,0.5350,0.3600,0.7050,0.5289,0.7037,0.5289,0.0061,-0.1653,0.1751,False,1
PPARA/PPARD,unused_pool_holdout,20,20,20,2000,0.4450,0.4575,0.4450,0.2450,0.5550,0.2950,0.3862,0.2950,0.1500,-0.0475,0.3050,False,0
