receptor,target_name,n_active,n_decoy,n_docked,auroc,EF_1pct,EF_5pct,exhaustiveness,seed
4L23,PIK3CA,49,149,198,0.6027,2.0408,1.2245,16,20260727
4JT6,MTOR,50,147,197,0.6288,2.0,3.2,16,20260727
