pair,contrast,method,cv_scheme,n_splits,n_scaffolds,n,auroc_ml,auroc_dock_pocket_matched,delta_ml_minus_dock,note
EGFR/HER2,D_vs_A,ECFP4_logistic_cv,StratifiedKFold_random,5,54,66,0.7961,0.6664,0.1297,potential_leakage
EGFR/HER2,D_vs_B,ECFP4_logistic_cv,StratifiedKFold_random,5,51,60,0.8884,0.4297,0.4587,potential_leakage
AChE/BChE,D_vs_A,ECFP4_logistic_cv,StratifiedKFold_random,5,45,52,0.9096,0.6504,0.2593,potential_leakage
AChE/BChE,D_vs_B,ECFP4_logistic_cv,StratifiedKFold_random,5,50,55,0.8241,0.6058,0.2183,potential_leakage
PIK3CA/PIK3CB,D_vs_A,ECFP4_logistic_cv,StratifiedKFold_random,5,46,55,0.8042,0.6905,0.1138,potential_leakage
PIK3CA/PIK3CB,D_vs_B,ECFP4_logistic_cv,StratifiedKFold_random,5,44,56,0.889,0.5,0.389,potential_leakage
PIK3CA/mTOR,D_vs_A,ECFP4_logistic_cv,StratifiedKFold_random,5,31,32,0.7262,0.7143,0.0119,potential_leakage
PIK3CA/mTOR,D_vs_B,ECFP4_logistic_cv,StratifiedKFold_random,5,28,30,0.9213,0.6921,0.2292,potential_leakage
