pair,label_rule,n_dual,n_A_only,n_B_only,n_neither_excluded,underpowered,pocket_matched_summary_min,auroc_D_vs_A,auroc_D_vs_B,ci_lo,ci_hi,bootstrap,seed
EGFR/HER2,theta_5.5,69,21,10,,0,0.3797,0.7650,0.3797,0.1927,0.6029,class_stratified_shared_dual,20260729
EGFR/HER2,theta_6.0,28,37,32,,0,0.3237,0.6564,0.3237,0.1953,0.4744,class_stratified_shared_dual,20260729
EGFR/HER2,theta_6.5,26,28,29,,0,0.3462,0.7212,0.3462,0.2002,0.5013,class_stratified_shared_dual,20260729
EGFR/HER2,strict_6.5_5.5,26,16,7,,1,0.1758,0.7788,0.1758,0.0330,0.3463,class_stratified_shared_dual,20260729
JAK1/JAK2,theta_5.5,34,30,32,,0,0.5716,0.5716,0.7169,0.4304,0.7030,class_stratified_shared_dual,20260729
JAK1/JAK2,theta_6.0,32,32,32,,0,0.5884,0.5884,0.7275,0.4482,0.7158,class_stratified_shared_dual,20260729
JAK1/JAK2,theta_6.5,32,32,32,,0,0.5884,0.5884,0.7275,0.4482,0.7158,class_stratified_shared_dual,20260729
JAK1/JAK2,strict_6.5_5.5,32,32,32,,0,0.5884,0.5884,0.7275,0.4482,0.7158,class_stratified_shared_dual,20260729
JAK1/TYK2,theta_5.5,32,31,33,,0,0.3845,0.5973,0.3845,0.2509,0.5237,class_stratified_shared_dual,20260729
JAK1/TYK2,theta_6.0,31,32,32,,0,0.3649,0.5751,0.3649,0.2329,0.5051,class_stratified_shared_dual,20260729
JAK1/TYK2,theta_6.5,31,32,32,,0,0.3649,0.5751,0.3649,0.2329,0.5051,class_stratified_shared_dual,20260729
JAK1/TYK2,strict_6.5_5.5,31,32,32,,0,0.3649,0.5751,0.3649,0.2329,0.5051,class_stratified_shared_dual,20260729
PIK3CA/mTOR,theta_5.5,33,9,5,,1,0.5017,0.5017,0.5061,0.2727,0.6196,class_stratified_shared_dual,20260729
PIK3CA/mTOR,theta_6.0,18,14,12,,0,0.6921,0.7143,0.6921,0.4801,0.8016,class_stratified_shared_dual,20260729
PIK3CA/mTOR,theta_6.5,17,15,12,,0,0.6740,0.7098,0.6740,0.4509,0.7941,class_stratified_shared_dual,20260729
PIK3CA/mTOR,strict_6.5_5.5,17,7,4,,1,0.6387,0.6387,0.6691,0.3382,0.7794,class_stratified_shared_dual,20260729
AChE/BChE,theta_5.5,27,26,28,,0,0.6058,0.6524,0.6058,0.4392,0.7354,class_stratified_shared_dual,20260729
AChE/BChE,theta_6.0,27,26,28,,0,0.6058,0.6524,0.6058,0.4392,0.7354,class_stratified_shared_dual,20260729
AChE/BChE,theta_6.5,27,26,28,,0,0.6058,0.6524,0.6058,0.4392,0.7354,class_stratified_shared_dual,20260729
AChE/BChE,strict_6.5_5.5,27,26,28,,0,0.6058,0.6524,0.6058,0.4392,0.7354,class_stratified_shared_dual,20260729
F2/F10,theta_5.5,33,31,31,,0,0.3529,0.4076,0.3529,0.2141,0.4761,class_stratified_shared_dual,20260729
F2/F10,theta_6.0,31,32,32,,0,0.3448,0.4133,0.3448,0.2157,0.4819,class_stratified_shared_dual,20260729
F2/F10,theta_6.5,31,32,32,,0,0.3448,0.4133,0.3448,0.2157,0.4819,class_stratified_shared_dual,20260729
F2/F10,strict_6.5_5.5,31,32,32,,0,0.3448,0.4133,0.3448,0.2157,0.4819,class_stratified_shared_dual,20260729
PPARG/PPARA,theta_5.5,33,30,32,,0,0.6444,0.6444,0.7083,0.5010,0.7424,class_stratified_shared_dual,20260729
PPARG/PPARA,theta_6.0,32,31,32,,0,0.6492,0.6492,0.7061,0.5111,0.7460,class_stratified_shared_dual,20260729
PPARG/PPARA,theta_6.5,32,31,32,,0,0.6492,0.6492,0.7061,0.5111,0.7460,class_stratified_shared_dual,20260729
PPARG/PPARA,strict_6.5_5.5,32,31,32,,0,0.6492,0.6492,0.7061,0.5111,0.7460,class_stratified_shared_dual,20260729
PPARA/PPARD,theta_5.5,34,33,30,,0,0.4539,0.6711,0.4539,0.3108,0.5892,class_stratified_shared_dual,20260729
PPARA/PPARD,theta_6.0,32,32,32,,0,0.4463,0.6465,0.4463,0.3008,0.5898,class_stratified_shared_dual,20260729
PPARA/PPARD,theta_6.5,32,32,32,,0,0.4463,0.6465,0.4463,0.3008,0.5898,class_stratified_shared_dual,20260729
PPARA/PPARD,strict_6.5_5.5,32,32,32,,0,0.4463,0.6465,0.4463,0.3008,0.5898,class_stratified_shared_dual,20260729
