pair,ligand,cls,murcko_scaffold,heavy,pA,pB
EGFR/HER2,EH40_01,dual,c1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)cc1,38.0,9.0,8.52
EGFR/HER2,EH40_02,dual,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,40.0,10.22,8.8
EGFR/HER2,EH40_03,dual,O=C1CCCC2=C1C(c1ccc(S(=O)(=O)c3ccccc3)cc1)C(C(=O)c1ccccc1)=CN2,38.0,9.85,9.47
EGFR/HER2,EH40_04,dual,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1)c1ccccc1,44.0,8.7,8.4
EGFR/HER2,EH40_05,dual,c1cncc(Oc2ccc(Nc3ncnc4ccccc34)cc2)c1,35.0,8.19,8.0
EGFR/HER2,EH40_06,dual,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5c[nH]nn5)cc34)cc2)cc1,42.0,8.38,7.79
EGFR/HER2,EH40_07,dual,c1ccc(Cn2ccc3cc(Nc4ccncn4)ccc32)cc1,29.0,7.89,7.57
EGFR/HER2,EH40_08,dual,O=C(NCCCn1ccnc1)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1,39.0,7.4,7.52
EGFR/HER2,EH40_09,dual,O=C(C=CCN1CCOCC1)Nc1ccc2nccc(Nc3ccc(OCc4ccccc4)cc3)c2c1,43.0,7.7,7.23
EGFR/HER2,EH40_10,dual,c1ccc(Nc2ncnc3ccccc23)cc1,30.0,7.08,7.36
EGFR/HER2,EH40_11,dual,c1ccc(Cn2ccc3cc(Nc4ncnc5ccccc45)ccc32)cc1,34.0,7.68,6.91
EGFR/HER2,EH40_12,dual,c1ccc(Cn2ncc3cc(Nc4ncnc5ccccc45)ccc32)nc1,35.0,6.75,8.1
EGFR/HER2,EH40_13,dual,O=C(C=CCN1CCCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,36.0,8.01,6.61
EGFR/HER2,EH40_14,dual,c1ccc(-c2c(CN3CCOCC3)nc3sccn23)cc1,26.0,6.38,6.92
EGFR/HER2,EH40_15,dual,c1ccc(Nc2ncnn3ccc(CN4CCCCC4)c23)cc1,25.0,6.18,7.7
EGFR/HER2,EH40_16,A_only,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,29.0,7.3,5.99
EGFR/HER2,EH40_17,A_only,c1ccc(Nc2ncnc3ccccc23)cc1,29.0,7.14,5.93
EGFR/HER2,EH40_18,A_only,O=C(NCc1ccccc1)c1ccc2c(c1)NC(=O)c1ccc(-c3ccccc3)cc1N2,36.0,6.3,5.9
EGFR/HER2,EH40_19,A_only,S=C(Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1,27.0,6.17,5.85
EGFR/HER2,EH40_20,A_only,O=C(C=CCN1CCOCC1)Nc1cc2c(Nc3ccccc3)ncnc2cc1OC1CCOC1,38.0,9.59,5.8
EGFR/HER2,EH40_21,A_only,O=C(C=CCN1CCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,32.0,6.88,5.72
EGFR/HER2,EH40_22,A_only,O=C(NCCCN1CCNCC1)c1cc2c(Nc3ccc(OCc4ccccc4)cc3)nncc2[nH]1,40.0,6.01,5.65
EGFR/HER2,EH40_23,A_only,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,34.0,6.35,5.57
EGFR/HER2,EH40_24,A_only,O=C1CSC(NN=Cc2ccccc2)=N1,17.0,6.01,5.45
EGFR/HER2,EH40_25,A_only,c1ccc(Nc2ncnc3ccccc23)cc1,17.0,7.1,5.3
EGFR/HER2,EH40_26,A_only,c1ccc(CNc2ncnn3cccc23)cc1,24.0,6.7,5.14
EGFR/HER2,EH40_27,A_only,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,28.0,6.28,4.8
EGFR/HER2,EH40_28,B_only,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccc5ccnn5c4)cc3)ncnc2c1,38.0,5.99,7.79
EGFR/HER2,EH40_29,B_only,c1ccc(COc2ccc(Nc3nncc4c[nH]cc34)cc2)cc1,32.0,5.92,6.03
EGFR/HER2,EH40_30,B_only,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,33.0,5.9,6.1
EGFR/HER2,EH40_31,B_only,c1cncc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCCCC5)c34)cc2)c1,35.0,5.84,8.3
EGFR/HER2,EH40_32,B_only,c1cncc(Cn2ncc3cc(Nc4ncnn5cccc45)ccc32)c1,27.0,5.75,6.6
