pair,contrast,score_feature,n,n_pos,n_neg,auroc_score_only,auroc_score_plus_covariates,delta_auroc,coef_score,coef_heavy,coef_tpsa,or_score
EGFR/HER2,D_vs_A_only,vina_B,66,28,38,0.6664,0.7293,0.063,0.0591,0.0592,0.0284,1.0609
EGFR/HER2,D_vs_B_only,vina_A,60,28,32,0.5703,0.6283,0.058,0.1207,-0.1225,0.0037,1.1283
AChE/BChE,D_vs_A_only,vina_B,52,27,25,0.6504,0.7319,0.0815,0.3753,-0.0197,0.0228,1.4554
AChE/BChE,D_vs_B_only,vina_A,55,27,28,0.6058,0.8069,0.2011,0.1617,-0.0711,0.0672,1.1755
PIK3CA/PIK3CB,D_vs_A_only,vina_B,55,28,27,0.6905,0.6892,-0.0013,0.3775,0.0826,-0.0115,1.4587
PIK3CA/PIK3CB,D_vs_B_only,vina_A,56,28,28,0.5,0.6977,0.1977,-0.1201,0.1005,0.0087,0.8868
PIK3CA/mTOR,D_vs_A_only,vina_B,32,18,14,0.7143,0.8214,0.1071,0.7819,-0.0582,-0.0363,2.1855
PIK3CA/mTOR,D_vs_B_only,vina_A,30,18,12,0.6921,0.7593,0.0671,1.1251,-0.0377,0.0096,3.0807
