pair,contrast,method,n,auroc_ml,auroc_dock_pocket_matched,delta_ml_minus_dock
EGFR/HER2,D_vs_A,ECFP4_logistic_nested_cv,66,0.7961,0.6664,0.1297
EGFR/HER2,D_vs_B,ECFP4_logistic_nested_cv,60,0.8884,0.4297,0.4587
AChE/BChE,D_vs_A,ECFP4_logistic_nested_cv,52,0.9096,0.6504,0.2593
AChE/BChE,D_vs_B,ECFP4_logistic_nested_cv,55,0.8241,0.6058,0.2183
PIK3CA/PIK3CB,D_vs_A,ECFP4_logistic_nested_cv,55,0.8042,0.6905,0.1138
PIK3CA/PIK3CB,D_vs_B,ECFP4_logistic_nested_cv,56,0.889,0.5,0.389
PIK3CA/mTOR,D_vs_A,ECFP4_logistic_nested_cv,32,0.7262,0.7143,0.0119
PIK3CA/mTOR,D_vs_B,ECFP4_logistic_nested_cv,30,0.9213,0.6921,0.2292
