pair,best_descriptor,n_dual,n_A_only,n_B_only,n_boot_ok,vina_D_vs_A,vina_D_vs_B,vina_summary_min,descriptor_D_vs_A,descriptor_D_vs_B,descriptor_summary_min,delta_vina_minus_descriptor,delta_boot_mean,delta_ci_lo,delta_ci_hi,ci_excludes_zero,note
EGFR/HER2,clogp,28,38,32,2000,0.6664,0.4297,0.4297,0.5263,0.4821,0.4821,-0.0524,-0.046,-0.2,0.1155,False,pocket-matched Vina vs ligand-level descriptor; NOT pooled vina_mean
AChE/BChE,tpsa,27,25,28,2000,0.6504,0.6058,0.6058,0.7333,0.8009,0.7333,-0.1275,-0.1318,-0.3039,0.0493,False,pocket-matched Vina vs ligand-level descriptor; NOT pooled vina_mean
PIK3CA/PIK3CB,heavy,28,27,28,2000,0.6905,0.5,0.5,0.6217,0.6849,0.6217,-0.1217,-0.1157,-0.3197,0.0891,False,pocket-matched Vina vs ligand-level descriptor; NOT pooled vina_mean
PIK3CA/mTOR,heavy,18,14,12,2000,0.7143,0.6921,0.6921,0.4643,0.463,0.463,0.2291,0.2242,-0.0105,0.4352,False,pocket-matched Vina vs ligand-level descriptor; NOT pooled vina_mean
