md_rank,md_category,repurposing_id,chembl_id,name,canonical_smiles,mw,scaffold,s_u_percentile,s_n_percentile,dual_structure_balance,chemistry_rank_score,preferred_candidate,clean_candidate,is_known_reference,has_9dkb_pose,has_7alv_pose,selection_rationale
1,novel_candidate,REP_00303,CHEMBL4594217,CANAGLIFLOZIN,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,444.52,c1ccc(-c2ccc(Cc3cccc(C4CCCCO4)c3)s2)cc1,98.07029634734666,94.00413507925568,94.00413507925568,0.5262500000000001,True,True,False,True,True,"preferred_candidate (clean + oral MW + absorption), MW=445, dual_structure_balance=94.0, chemistry_rank_score=0.526, scaffold-diversified"
2,novel_candidate,REP_00992,CHEMBL4297455,CAFICRESTAT,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,421.36,O=c1c2nccnc2cnn1Cc1nc2ccccc2s1,91.45416953824947,94.96898690558236,91.45416953824947,0.5764,True,True,False,True,True,"preferred_candidate (clean + oral MW + absorption), MW=421, dual_structure_balance=91.5, chemistry_rank_score=0.576, scaffold-diversified"
3,novel_candidate,REP_07010,CHEMBL5314433,NELUTROCTIV,CS(=O)(=O)c1cncc(C(=O)N2[C@@H](C(=O)N[C@@H](c3cc(F)c(C(F)(F)F)cc3F)C3CC3)C[C@H]3C[C@H]32)c1,543.51,O=C(NC(c1ccccc1)C1CC1)C1CC2CC2N1C(=O)c1cccnc1,92.3501033769814,94.41764300482426,92.3501033769814,0.2329125,True,True,False,True,True,"preferred_candidate (clean + oral MW + absorption), MW=544, dual_structure_balance=92.4, chemistry_rank_score=0.233, scaffold-diversified"
4,novel_candidate,REP_06875,CHEMBL5095100,FULIMETIBANT,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,487.45,O=C(Nc1ccc(-c2cnn(C3CCC3)c2)cc1)C1(c2ccccc2)CC1,90.28256374913852,91.38525155065471,90.07580978635424,0.2505875,True,True,False,True,True,"preferred_candidate (clean + oral MW + absorption), MW=487, dual_structure_balance=90.1, chemistry_rank_score=0.251, scaffold-diversified"
5,known_control,REP_00207,CHEMBL2105720,LESINURAD,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,404.29,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,91.592005513439,95.03790489317711,91.592005513439,0.6401375,True,True,True,True,True,Known reference compound; positive-control MD system for calibration.
