target,ligand,status,n_modes,reason
4JT6,PM48_01,success,9,
4L23,PM48_01,success,9,
4JT6,PM48_04,success,9,
4L23,PM48_04,success,9,
4JT6,PM48_02,success,9,
4L23,PM48_02,success,9,
4L23,PM48_05,success,9,
4JT6,PM48_05,success,9,
4L23,PM48_06,success,9,
4JT6,PM48_06,success,9,
4L23,PM48_03,success,9,
4JT6,PM48_07,success,9,
4L23,PM48_07,success,9,
4JT6,PM48_03,success,9,
4L23,PM48_09,success,9,
4L23,PM48_08,success,9,
4JT6,PM48_09,success,9,
4JT6,PM48_08,success,9,
4L23,PM48_11,success,9,
4JT6,PM48_11,success,9,
4L23,PM48_12,success,9,
4JT6,PM48_12,success,9,
4L23,PM48_13,success,9,
4L23,PM48_14,success,9,
4JT6,PM48_13,success,9,
4JT6,PM48_14,success,9,
4L23,PM48_16,success,9,
4JT6,PM48_16,success,9,
4L23,PM48_15,success,9,
4JT6,PM48_15,success,9,
4L23,PM48_17,success,9,
4JT6,PM48_17,success,9,
4L23,PM48_18,success,9,
4JT6,PM48_18,success,9,
4L23,PM48_10,success,9,
4JT6,PM48_10,success,9,
4L23,PM48_21,success,9,
4JT6,PM48_21,success,9,
4JT6,PM48_22,success,9,
4L23,PM48_22,success,9,
4L23,PM48_20,success,9,
4JT6,PM48_20,success,9,
4JT6,PM48_19,success,9,
4L23,PM48_19,success,9,
4JT6,PM48_24,success,9,
4L23,PM48_24,success,9,
4L23,PM48_23,success,9,
4JT6,PM48_23,success,9,
4L23,PM48_25,success,9,
4JT6,PM48_25,success,9,
4L23,PM48_27,success,9,
4JT6,PM48_27,success,9,
4L23,PM48_29,success,9,
4L23,PM48_26,success,9,
4JT6,PM48_28,success,9,
4L23,PM48_28,success,9,
4JT6,PM48_29,success,9,
4JT6,PM48_26,success,9,
4L23,PM48_32,success,9,
4JT6,PM48_32,success,9,
4JT6,PM48_30,success,9,
4L23,PM48_33,success,9,
4L23,PM48_30,success,9,
4JT6,PM48_33,success,9,
4JT6,PM48_35,success,9,
4L23,PM48_35,success,9,
4L23,PM48_34,success,9,
4JT6,PM48_36,success,9,
4L23,PM48_36,success,9,
4JT6,PM48_34,success,9,
4JT6,PM48_31,success,9,
4L23,PM48_31,success,9,
4L23,PM48_39,success,9,
4JT6,PM48_38,success,9,
4L23,PM48_38,success,9,
4JT6,PM48_39,success,9,
4L23,PM48_40,success,9,
4JT6,PM48_40,success,9,
4L23,PM48_41,success,9,
4JT6,PM48_41,success,9,
4JT6,PM48_37,success,9,
4L23,PM48_42,success,9,
4L23,PM48_37,success,9,
4JT6,PM48_42,success,9,
4L23,PM48_45,success,9,
4JT6,PM48_45,success,9,
4JT6,PM48_43,success,9,
4L23,PM48_43,success,9,
4L23,PM48_47,success,9,
4L23,PM48_44,success,9,
4JT6,PM48_47,success,9,
4JT6,PM48_44,success,9,
4L23,PM48_46,success,9,
4JT6,PM48_46,success,9,
4L23,PM48_48,success,9,
4JT6,PM48_48,success,9,
