ligand,class,pref_name,molecule_chembl_id,4JT6_affinity,4L23_affinity,rtm_4L23,rtm_4JT6,vina_4L23_hb,vina_4JT6_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_4L23_z,rtm_4JT6_z,rtm_min_z,prep
PM48_01,dual,PI-103,CHEMBL573339,-9.512,-9.241,75.87898599726819,50.348824554824034,9.241,9.512,9.3765,9.241,63.11390527604611,50.348824554824034,1.1489386025102004,0.3933911226749668,0.3933911226749668,rdkit_meeko
PM48_02,dual,OMIPALISIB,CHEMBL1236962,-10.949,-9.282,41.05998691581417,66.16648645837738,9.282,10.949,10.1155,9.282,53.61323668709578,41.05998691581417,-0.9718274474126566,1.7019259034447434,-0.9718274474126566,rdkit_meeko
PM48_03,dual,GEDATOLISIB,CHEMBL592445,-8.53,-7.553,36.84173499520144,28.668200207364464,7.553,8.53,8.0415,7.553,32.75496760128296,28.668200207364464,-1.2287540018586838,-1.4001641575198749,-1.4001641575198749,rdkit_meeko
PM48_04,dual,DACTOLISIB,CHEMBL1879463,-10.505,-9.758,43.28573537063512,52.254341012261904,9.758,10.505,10.131499999999999,9.758,47.77003819144851,43.28573537063512,-0.8362608922796358,0.5510272243371555,-0.8362608922796358,rdkit_meeko
PM48_05,dual,PICTILISIB,CHEMBL521851,-9.239,-9.634,75.58751607240039,54.49524227171411,9.634,9.239,9.4365,9.239,65.04137917205725,54.49524227171411,1.1311856648169847,0.7364084302412524,0.7364084302412524,rdkit_meeko
PM48_06,dual,APITOLISIB,CHEMBL1922094,-9.247,-8.186,67.92274024961732,51.43523602187287,8.186,9.247,8.7165,8.186,59.678988135745094,51.43523602187287,0.6643371977717032,0.48326579565309896,0.48326579565309896,rdkit_meeko
PM48_07,dual,TORIN2,CHEMBL1765602,-10.489,-9.278,44.29881499884208,50.60526429803377,9.278,10.489,9.883500000000002,9.278,47.452039648437925,44.29881499884208,-0.7745559341232089,0.4146054035976247,-0.7745559341232089,rdkit_meeko
PM48_08,dual,PF-04691502,CHEMBL1234354,-9.085,-7.691,51.02573498284316,61.92040404377861,7.691,9.085,8.388,7.691,56.47306951331089,51.02573498284316,-0.36483067208327125,1.3506637159359025,-0.36483067208327125,rdkit_meeko
PM48_09,dual,BIMIRALISIB,CHEMBL4084907,-8.294,-8.379,72.38871061773801,63.04510291655762,8.379,8.294,8.336500000000001,8.294,67.71690676714782,63.04510291655762,0.9363518617922043,1.443705759816818,0.9363518617922043,rdkit_meeko
PM48_10,dual,TORIN1,CHEMBL1256459,-10.095,-9.091,43.78960017662487,37.20279613544962,9.091,10.095,9.593,9.091,40.496198156037245,37.20279613544962,-0.8055713433987436,-0.694129619684245,-0.8055713433987436,rdkit_meeko
PM48_11,dual,SAPANISERTIB,CHEMBL3545097,-9.161,-8.005,74.72425984053592,48.94021028187878,8.005,9.161,8.583,8.005,61.83223506120735,48.94021028187878,1.0786061950671595,0.2768618416676687,0.2768618416676687,rdkit_meeko
PM48_12,dual,BUPARLISIB,CHEMBL2017974,-7.663,-8.859,65.48971873640382,60.48685882445233,8.859,7.663,8.261,7.663,62.98828878042807,60.48685882445233,0.5161459929675569,1.2320719929156196,0.5161459929675569,rdkit_meeko
PM48_13,dual,VISTUSERTIB,CHEMBL2336325,-8.524,-8.319,37.012120221043176,28.7034997131538,8.319,8.524,8.4215,8.319,32.85780996709849,28.7034997131538,-1.2183761273675684,-1.3972439641720227,-1.3972439641720227,rdkit_meeko
PM48_14,dual,VS-5584,CHEMBL3393066,-8.642,-7.786,61.951444875999606,53.65169893895202,7.786,8.642,8.213999999999999,7.786,57.80157190747582,53.65169893895202,0.3006357463656784,0.6666253107931319,0.3006357463656784,rdkit_meeko
PM48_15,dual,PAXALISIB,CHEMBL3813842,-8.228,-7.938,77.22173832855667,46.447040311466495,7.938,8.228,8.083,7.938,61.83438932001158,46.447040311466495,1.230723364645082,0.07061140841480297,0.07061140841480297,rdkit_meeko
PM48_16,dual,VOXTALISIB,CHEMBL3545366,-7.765,-8.751,66.77915339735104,33.05642167033213,8.751,7.765,8.258,7.765,49.91778753384158,33.05642167033213,0.5946832664294815,-1.0371433491965105,-1.0371433491965105,rdkit_meeko
PM48_17,dual,SAMOTOLISIB,CHEMBL4297181,-8.497,-7.995,50.85243821436946,31.62770790865547,7.995,8.497,8.246,7.995,41.24007306151246,31.62770790865547,-0.3753858836871605,-1.1553353841709306,-1.1553353841709306,rdkit_meeko
PM48_18,dual,ZSTK-474,CHEMBL586702,-8.567,-8.948,71.45501370085354,67.46791888228947,8.948,8.567,8.7575,8.567,69.4614662915715,67.46791888228947,0.8794819696504471,1.8095884392793171,0.8794819696504471,rdkit_meeko
PM48_19,A_only,TASELISIB,CHEMBL2387080,-6.452,-6.238,69.2081446482666,41.94485304576479,6.238,6.452,6.345000000000001,6.238,55.57649884701569,41.94485304576479,0.7426289948075603,-0.3018373556712485,-0.3018373556712485,rdkit_meeko
PM48_20,A_only,,CHEMBL3646632,-8.865,-8.805,88.23594908440661,59.63399117037639,8.805,8.865,8.835,8.805,73.9349701273915,59.63399117037639,1.901580220209992,1.1615175079635052,1.1615175079635052,rdkit_meeko
PM48_21,A_only,,CHEMBL3814414,-9.303,-8.288,78.3738400854604,64.98179526046937,8.288,9.303,8.7955,8.288,71.67781767296489,64.98179526046937,1.3008959243554308,1.6039209235440037,1.3008959243554308,rdkit_meeko
PM48_22,A_only,ALPELISIB,CHEMBL2396661,-7.951,-7.429,35.548215079548015,27.587111589208725,7.429,7.951,7.6899999999999995,7.429,31.56766333437837,27.587111589208725,-1.3075401012407888,-1.4895984915306006,-1.4895984915306006,rdkit_meeko
