compound_id,smiles,murcko,maxTc_vs_literature_refs,nearest_literature_ref,maxTc_vs_chembl_jnk_pool,nearest_chembl_id,interpretation
690,Cc1ccc(NC(=O)Nc2ncc3c(n2)CC(C)(C)CC3=O)cc1,O=C(Nc1ccccc1)Nc1ncc2c(n1)CCCC2=O,0.2329,Q63,0.2716,CHEMBL101035,chemically distant from curated JNK set (ECFP4)
2231,COc1nc(NCc2ccccc2CN2CCCC2=O)ncc1F,O=C1CCCN1Cc1ccccc1CNc1ncccn1,0.2179,Q63,0.2933,CHEMBL1946330,chemically distant from curated JNK set (ECFP4)
