compound_id,hit_smiles,query_murcko,nearest_chembl_id,nearest_smiles,nearest_murcko,nearest_source_isoform,max_ecfp4_tanimoto_chembl_jnk,same_murcko_as_nearest
690,Cc1ccc(NC(=O)Nc2ncc3c(n2)CC(C)(C)CC3=O)cc1,O=C(Nc1ccccc1)Nc1ncc2c(n1)CCCC2=O,CHEMBL101035,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1,O=C(Nc1ccc(OCCN2CCOCC2)cc1)Nc1ccnn1-c1ccccc1,JNK2,0.2716,False
2157,Cc1cnc(NCc2cccc3c2OCCCO3)nc1C,c1cnc(NCc2cccc3c2OCCCO3)nc1,CHEMBL1761572,Cc1ccc(-c2cccc3cnc(Nc4ccc5c(c4)OCO5)nc23)cn1,c1cncc(-c2cccc3cnc(Nc4ccc5c(c4)OCO5)nc23)c1,JNK3,0.2676,False
