anchor,primary,n,iptm_active,iptm_decoy_med,iptm_beats_med,iptm_rank,iptm_auc,iptm_ef1,ranking_score_active,ranking_score_decoy_med,ranking_score_beats_med,ranking_score_rank,ranking_score_auc,ranking_score_ef1,protein_ligand_pae_min_active,protein_ligand_pae_min_decoy_med,protein_ligand_pae_min_beats_med,protein_ligand_pae_min_rank,protein_ligand_pae_min_auc,protein_ligand_pae_min_ef1
YL5084,ACT001,44,0.91,0.65,True,1,1.0,44.0,0.97,0.74,True,1,1.0,44.0,0.91,2.25,True,1,1.0,44.0
JNK-IN-8,ACT003,51,0.96,0.66,True,1,1.0,51.0,1.01,0.76,True,1,1.0,51.0,0.82,2.2,True,1,1.0,51.0
56d,ACT004,51,0.97,0.66,True,1,1.0,51.0,1.02,0.76,True,1,1.0,51.0,0.87,2.23,True,1,1.0,51.0
