,iptm,ptm,ranking_score,protein_ligand_pae_min,best_sample_ranking_score
iptm,1.0,0.8129532067978461,0.9947357645929875,-0.624209088068642,0.9939299302608042
ptm,0.8129532067978461,1.0,0.8449258536586292,-0.5145601970696886,0.8477356793849823
ranking_score,0.9947357645929875,0.8449258536586292,1.0,-0.6128099716151617,0.9977250112126232
protein_ligand_pae_min,-0.624209088068642,-0.5145601970696886,-0.6128099716151617,1.0,-0.6093928600581932
best_sample_ranking_score,0.9939299302608042,0.8477356793849823,0.9977250112126232,-0.6093928600581932,1.0
