metric,cohens_d,auc,p_value,active_mean,decoy_median,decoy_best,active_worst,separation_gap,decoy_overlap_worst_active_pct
protein_ligand_pae_min,5.293442683175486,1.0,0.000336219843305487,0.88,2.23,1.25,0.92,0.32999999999999996,0.0
best_sample_ranking_score,2.4248255976546527,0.9825174825174825,5.034292098196546e-06,0.9852716822751573,0.7455832775835766,0.9949722521882712,0.9439639020707156,-0.05100835011755567,6.293706293706294
ranking_score,2.4241393307271317,0.9816433566433567,0.0005161280373970344,0.985,0.75,0.99,0.94,-0.050000000000000044,6.293706293706294
iptm,2.422483600231278,0.9825174825174825,0.0005117117497747874,0.9299999999999999,0.65,0.94,0.88,-0.05999999999999994,5.594405594405594
ptm,1.858341030011798,0.986013986013986,0.00045449830649135564,0.825,0.77,0.83,0.82,-0.010000000000000009,0.6993006993006993
