compound_id,folder,compound_name,group,anchor,iptm,ptm,ranking_score,best_sample_ranking_score,protein_ligand_pae_min,has_clash,iptm_rank_in_decoys,iptm_beats_decoy_med,ranking_score_rank_in_decoys,ranking_score_beats_decoy_med,protein_ligand_pae_min_rank_in_decoys,protein_ligand_pae_min_beats_decoy_med
ACT001,8ELC_ACT001,YL5084,active,YL5084,0.91,0.82,0.97,0.9680415597917588,0.91,0.0,142.0,True,142.0,True,1.0,True
ACT002,8ELC_ACT002,YL2056,active,YL5084,0.88,0.82,0.94,0.9439639020707156,0.92,0.0,135.0,True,135.0,True,1.0,True
ACT003,8ELC_ACT003_20260712_015414,JNK-IN-8,active,JNK-IN-8,0.96,0.83,1.01,1.0098204636750787,0.82,0.0,144.0,True,144.0,True,1.0,True
ACT004,8ELC_ACT004,56d,active,56d,0.97,0.83,1.02,1.0192608035630764,0.87,0.0,144.0,True,144.0,True,1.0,True
