compound_id,folder,compound_name,group,anchor,iptm,ptm,ranking_score,best_sample_ranking_score,protein_ligand_pae_min,has_clash,mpae_token,ligand_chain_ptm,protein_chain_ptm,ligand_chain_iptm
ACT001,8ELC_ACT001,YL5084,active,YL5084,0.91,0.82,0.97,0.9680415597917588,0.91,0.0,0.9,0.63,0.8,0.91
ACT002,8ELC_ACT002,YL2056,active,YL5084,0.88,0.82,0.94,0.9439639020707156,0.92,0.0,0.9,0.59,0.81,0.88
ACT003,8ELC_ACT003_20260712_015414,JNK-IN-8,active,JNK-IN-8,0.96,0.83,1.01,1.0098204636750787,0.82,0.0,0.8,0.68,0.81,0.96
ACT004,8ELC_ACT004,56d,active,56d,0.97,0.83,1.02,1.0192608035630764,0.87,0.0,0.9,0.75,0.81,0.97
DEC_56d_001,8ELC_DEC_56d_001,DEC_56d_001,decoy,56d,0.63,0.77,0.73,0.7327521353485318,2.35,0.0,2.4,0.39,0.78,0.63
DEC_56d_002,8ELC_DEC_56d_002,DEC_56d_002,decoy,56d,0.62,0.77,0.73,0.7285293121334834,2.36,0.0,2.4,0.43,0.78,0.62
DEC_56d_003,8ELC_DEC_56d_003,DEC_56d_003,decoy,56d,0.79,0.79,0.86,0.8649569720954152,2.12,0.0,2.1,0.45,0.78,0.79
DEC_56d_004,8ELC_DEC_56d_004,DEC_56d_004,decoy,56d,0.82,0.81,0.89,0.8938834528112755,1.88,0.0,1.9,0.44,0.8,0.82
DEC_56d_005,8ELC_DEC_56d_005,DEC_56d_005,decoy,56d,0.56,0.73,0.67,0.668959492535141,2.22,0.0,2.2,0.4,0.74,0.56
DEC_56d_006,8ELC_DEC_56d_006,DEC_56d_006,decoy,56d,0.67,0.77,0.77,0.7672653111215761,2.44,0.0,2.4,0.4,0.78,0.67
DEC_56d_007,8ELC_DEC_56d_007,DEC_56d_007,decoy,56d,0.61,0.76,0.71,0.7129866722520946,2.35,0.0,2.3,0.4,0.77,0.61
DEC_56d_008,8ELC_DEC_56d_008,DEC_56d_008,decoy,56d,0.62,0.75,0.73,0.7257207686373642,2.28,0.0,2.3,0.43,0.76,0.62
DEC_56d_009,8ELC_DEC_56d_009,DEC_56d_009,decoy,56d,0.65,0.75,0.75,0.746552115177064,2.28,0.0,2.3,0.43,0.75,0.65
DEC_56d_010,8ELC_DEC_56d_010,DEC_56d_010,decoy,56d,0.58,0.74,0.69,0.6912089200714068,2.24,0.0,2.2,0.39,0.75,0.58
DEC_56d_011,8ELC_DEC_56d_011,DEC_56d_011,decoy,56d,0.7,0.79,0.8,0.795608332262085,2.26,0.0,2.3,0.44,0.79,0.7
DEC_56d_012,8ELC_DEC_56d_012,DEC_56d_012,decoy,56d,0.76,0.81,0.85,0.8481702578773042,2.24,0.0,2.2,0.51,0.81,0.76
DEC_56d_013,8ELC_DEC_56d_013,DEC_56d_013,decoy,56d,0.82,0.8,0.89,0.8910899880910541,1.85,0.0,1.8,0.48,0.8,0.82
DEC_56d_014,8ELC_DEC_56d_014,DEC_56d_014,decoy,56d,0.89,0.82,0.95,0.9548553270664808,1.61,0.0,1.6,0.51,0.81,0.89
DEC_56d_015,8ELC_DEC_56d_015,DEC_56d_015,decoy,56d,0.7,0.78,0.79,0.7932802809862984,2.24,0.0,2.2,0.37,0.78,0.7
DEC_56d_016,8ELC_DEC_56d_016,DEC_56d_016,decoy,56d,0.56,0.73,0.67,0.6654293249189882,2.32,0.0,2.3,0.38,0.74,0.56
DEC_56d_017,8ELC_DEC_56d_017,DEC_56d_017,decoy,56d,0.64,0.76,0.74,0.7425179465697622,2.33,0.0,2.3,0.36,0.77,0.64
DEC_56d_018,8ELC_DEC_56d_018,DEC_56d_018,decoy,56d,0.91,0.82,0.97,0.9657281536650576,1.49,0.0,1.5,0.45,0.81,0.91
DEC_56d_019,8ELC_DEC_56d_019,DEC_56d_019,decoy,56d,0.58,0.76,0.69,0.6903872577604027,2.12,0.0,2.1,0.48,0.77,0.58
DEC_56d_020,8ELC_DEC_56d_020,DEC_56d_020,decoy,56d,0.61,0.76,0.72,0.7189942174862054,2.23,0.0,2.2,0.45,0.76,0.61
DEC_56d_021,8ELC_DEC_56d_021,DEC_56d_021,decoy,56d,0.8,0.8,0.88,0.8778804188074418,1.87,0.0,1.9,0.42,0.8,0.8
DEC_56d_022,8ELC_DEC_56d_022,DEC_56d_022,decoy,56d,0.65,0.77,0.75,0.7455832775835766,2.32,0.0,2.3,0.34,0.77,0.65
DEC_56d_023,8ELC_DEC_56d_023,DEC_56d_023,decoy,56d,0.78,0.79,0.85,0.8540954492021537,2.27,0.0,2.3,0.41,0.79,0.78
DEC_56d_024,8ELC_DEC_56d_024,DEC_56d_024,decoy,56d,0.59,0.73,0.7,0.6963530121768647,2.23,0.0,2.2,0.44,0.75,0.59
DEC_56d_025,8ELC_DEC_56d_025,DEC_56d_025,decoy,56d,0.63,0.77,0.73,0.7292014339847813,2.29,0.0,2.3,0.4,0.77,0.63
DEC_56d_026,8ELC_DEC_56d_026,DEC_56d_026,decoy,56d,0.75,0.79,0.83,0.8319828549625972,2.36,0.0,2.4,0.4,0.79,0.75
