name,nn_tanimoto_urat1_train,in_domain_p1,in_domain_p5,in_domain_p10
VECABRUTINIB,0.248,False,False,False
ZELENIRSTAT,0.21,False,False,False
DEUCRICTIBANT,0.222,False,False,False
PRALICIGUAT,0.223,False,False,False
GSK-3008348 FREE BASE,0.211,False,False,False
MLN-0415,0.202,False,False,False
BI 653048,0.205,False,False,False
