molecule_chembl_id,target_name,target_chembl_id,assay_chembl_id,assay_type,standard_type,standard_value,standard_units,standard_relation,pchembl_value,bao_format,assay_description,mutant_variant_keywords,organism,panel_id
CHEMBL3633938,EGFR,CHEMBL203,CHEMBL3636784,B,IC50,445.0,nM,=,6.35,BAO_0000357,Inhibition of EGFR (unknown origin) after 120 mins by HotSpot assay,,Homo sapiens,EH40_23
CHEMBL3633938,HER2,CHEMBL1824,CHEMBL3636785,B,IC50,2720.0,nM,=,5.57,BAO_0000357,Inhibition of HER2 (unknown origin) after 120 mins by HotSpot assay,,Homo sapiens,EH40_23
CHEMBL1614725,EGFR,CHEMBL203,CHEMBL2328801,B,IC50,4.0,nM,=,8.40,BAO_0000219,Inhibition of human wild type EGFR expressed in Sf9 cells using [gamma32P]-ATP after 10 mins by scintillation counting,"cell,wild",Homo sapiens,EH40_01
CHEMBL1614725,EGFR,CHEMBL203,CHEMBL2328802,B,IC50,8400.0,nM,=,5.08,BAO_0000219,Inhibition of human EGFR T790M/L858R mutant expressed in Sf9 cells using [gamma32P]-ATP after 10 mins by scintillation counting,"L858R,T790M,cell,mutant",Homo sapiens,EH40_01
CHEMBL1614725,EGFR,CHEMBL203,CHEMBL2351562,B,IC50,23.0,nM,=,7.64,BAO_0000019,Inhibition of human N-terminal DYKDDDD-tagged EGFR cytoplasmic domain (669 to 1210) expressed in baculovirus expression system incubated for 5 mins prior to [gamma-32P]ATP addition measured after 10 mins by scintillation counting analysis,,Homo sapiens,EH40_01
CHEMBL1614725,EGFR,CHEMBL203,CHEMBL3636784,B,IC50,1.0,nM,=,9.00,BAO_0000357,Inhibition of EGFR (unknown origin) after 120 mins by HotSpot assay,,Homo sapiens,EH40_01
CHEMBL1614725,EGFR,CHEMBL203,CHEMBL3991696,B,Kd,677.0,nM,=,6.17,BAO_0000220,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",cell,Homo sapiens,EH40_01
CHEMBL1614725,HER2,CHEMBL1824,CHEMBL1924800,B,IC50,17.0,nM,=,7.77,BAO_0000219,Inhibition of human N-terminus peptide (DYKDDDD)-tagged HER2 expressed in baculovirus infected insect cells using [gamma-32P]ATP as substrate after 60 mins by scintillation counting,cell,Homo sapiens,EH40_01
CHEMBL1614725,HER2,CHEMBL1824,CHEMBL2351563,B,IC50,17.0,nM,=,7.77,BAO_0000019,Inhibition of human N-terminal DYKDDDD-tagged HER2 cytoplasmic domain (676 to 1255) expressed in baculovirus expression system incubated for 5 mins prior to [gamma-32P]ATP addition measured after 10 mins by scintillation counting analysis,,Homo sapiens,EH40_01
CHEMBL1614725,HER2,CHEMBL1824,CHEMBL3636785,B,IC50,3.0,nM,=,8.52,BAO_0000357,Inhibition of HER2 (unknown origin) after 120 mins by HotSpot assay,,Homo sapiens,EH40_01
