target,pair,mcs_rmsd_A,mcs_n_atoms,pharm_rmsd_A,pharm_keys,notes
3POZ,EH40_23-vs-EH40_01,0.267,17,2.524,"hingeN,Cl",[#6]1:&@[#6](:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#8&!R])
3POZ,EH40_23-vs-EH40_02,0.103,27,0.135,"hingeN,Cl,Faryl",[#6]1:&@[#6](:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#8&!R]-
3RCD,EH40_23-vs-EH40_01,0.331,17,2.362,"hingeN,Cl",[#6]1:&@[#6](:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#8&!R])
3RCD,EH40_23-vs-EH40_02,0.247,27,0.213,"hingeN,Cl,Faryl",[#6]1:&@[#6](:&@[#6]:&@[#6](:&@[#6](:&@[#6]:&@1)-&!@[#8&!R]-
3POZ,EH40_01-vs-EH40_02,0.278,17,2.522,"hingeN,Cl",[#6&R](:&@[#6&R]):&@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6](:&@[#6
3RCD,EH40_01-vs-EH40_02,0.353,17,2.493,"hingeN,Cl",[#6&R](:&@[#6&R]):&@[#6]1:&@[#7]:&@[#6]:&@[#7]:&@[#6](:&@[#6
