ligand,target,mode,pdb,src_pdbqt,exists
EH40_01,3POZ,2,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3POZ_EH40_01_mode02.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3POZ/EH40_01/mode_02.pdbqt,True
EH40_01,3RCD,3,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3RCD_EH40_01_mode03.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3RCD/EH40_01/mode_03.pdbqt,True
EH40_02,3POZ,5,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3POZ_EH40_02_mode05.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3POZ/EH40_02/mode_05.pdbqt,True
EH40_02,3RCD,1,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3RCD_EH40_02_mode01.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3RCD/EH40_02/mode_01.pdbqt,True
EH40_23,3POZ,6,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3POZ_EH40_23_mode06.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3POZ/EH40_23/mode_06.pdbqt,True
EH40_23,3RCD,2,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/eh40_23_vs_anchors_v1/poses_pdb/3RCD_EH40_23_mode02.pdb,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/poses/3RCD/EH40_23/mode_02.pdbqt,True
