name,expected_profile,delta_sel_dock,delta_pIC50_sel,exp_dir_pIC50,pred_dir_dock,direction_match
SP600125,pan-JNK,-2.5734999999999992,-0.3521825181113627,JNK1,JNK23,False
TCS JNK 6O,JNK1-preferring,-1.181000000000001,-0.5509074688805811,JNK1,JNK23,False
CC-930,JNK2/JNK3-biased,-4.896,0.9402317949965102,JNK23,JNK23,True
E1,JNK1-preferring,3.045,-0.8473898367938411,JNK1,JNK1,True
