指标,数值,n
"Spearman(Δsel_dock_vsw, -ΔpIC50_sel)",0.75,7
"Spearman(Δsel_mmgbsa_vsw, -ΔpIC50_sel)",0.786,7
"方向准确率(docking,VSW PDB)",43%(3/7),7
"方向准确率(MM-GBSA,VSW PDB)",43%(3/7),7
"方向准确率(docking,ensemble归档)",29%(2/7),7
