阶段,数量,数据来源
ML初筛后对接库(F0),4983,md_shortlist_report_23c8.md
Glide XP VSW有效记录,4979,JNK1_SELECTIVITY_FINAL_REPORT_41d9.md
VSW pass_selectivity(遗留探索),233,同上;未用于MD短名单
VSW Tier 1′,57,同上
MD短名单 F1∧F2(ADMET前),157,md_shortlist_report_23c8.md
MD shortlist(ADMET后),25,同上
MD pose QC输入,16,MD_QC_report_cf26.md
最终采购推荐,10,data/purchase/purchase_after_md.csv
