ID,组,JNK1,JNK2,JNK3
2231,G2,0.91,0.0,0.1
2157,G1,0.85,0.46,0.02
2232,G1,1.0,1.0,0.04
690,G1,1.0,0.51,0.77
1280,G2,0.0,0.58,0.43
4795,G2,0.04,0.04,0.49
