阶段,数量,条件
ML F1后,4983,p_family ≥ 6.0
VSW有效,4979,三isoform均有XP分
pass_pose,3234,Glide pose质量门
pass_potency,1681,score_JNK1 ≤ -7.43
pass_selectivity(遗留),233,Δsel_dock>0 且 Δsel_MMGBSA≥2
has_selectivity_contact,63,铰链H-bond代理+Δsel启发式
