ligand,d_occ,occ_JNK1,occ_method,d_clash_JNK2,clash_JNK2,d_clash_JNK3,clash_JNK3,pose_ok,pose_notes,pred_JNK1_sel,exp_profile,exp_fold,match
E1,0.744,True,superpose_JNK2_Ser87,10.112,False,9.856,False,True,hinge_HB_dist=2.91Å(OK); centroid_dist=8.39Å(limit=36.8),False,JNK1偏好,JNK2/1=7.0x; JNK3/1=3.3x,False
TCS JNK 6O,0.899,True,superpose_JNK2_Ser87,8.691,False,9.140,False,True,hinge_HB_dist=3.04Å(OK); centroid_dist=10.15Å(limit=36.8),False,JNK1偏好,JNK2/1=3.6x,False
CC-930,1.180,True,superpose_JNK2_Ser87,9.362,False,9.107,False,True,hinge_HB_dist=2.80Å(OK); centroid_dist=7.22Å(limit=36.8),False,JNK2/3偏好(反向),JNK2/1=0.1x; JNK3/1=0.1x,True
SP600125,1.009,True,superpose_JNK2_Ser87,9.329,False,11.204,False,True,hinge_HB_dist=3.09Å(OK); centroid_dist=7.14Å(limit=36.8),False,pan,JNK2/1=1.0x; JNK3/1=2.2x,True
CC-90001,0.590,True,superpose_JNK2_Ser87,8.868,False,9.016,False,True,hinge_HB_dist=3.04Å(OK); centroid_dist=11.74Å(limit=36.8),False,近pan(弱2.8x),JNK2/1=2.8x,True
