idx,year,journal,title,doi,url,pmid,note
11,"2026","J Med Chem","Discovery of MK-1088 as a Potent A(2A)/A(2B) Adenosine Receptor Dual-Antagonist for Cancer Immunotherapy.","10.1021/acs.jmedchem.5c03405","https://doi.org/10.1021/acs.jmedchem.5c03405","42084562","激动剂为主"
12,"2026","J Med Chem","An Orally Available Halothiazole Glycomimetic as a Cancer-Targeting Dual Galectin-1 and Galectin-3 Inhibitor.","10.1021/acs.jmedchem.5c03703","https://doi.org/10.1021/acs.jmedchem.5c03703","42052938","原创双靶小分子(标题层面)"
13,"2026","J Med Chem","Discovery of INCB191358: A Potent and Selective DGKα/ζ Dual Inhibitor.","10.1021/acs.jmedchem.5c03768","https://doi.org/10.1021/acs.jmedchem.5c03768","41996127","原创双靶小分子(标题层面)"
14,"2026","J Med Chem","Rational Design of Dual-Target Molecules via a Fragment-Merging Strategy: TGR5 Agonism and SSTR5 Antagonism.","10.1021/acs.jmedchem.5c03308","https://doi.org/10.1021/acs.jmedchem.5c03308","41941587","原创双靶小分子(标题层面)"
15,"2026","J Med Chem","Development of Dihydroquinoxalinone-Based Dual CDK6/BET Inhibitors for Triple-Negative Breast Cancer Therapy.","10.1021/acs.jmedchem.5c03487","https://doi.org/10.1021/acs.jmedchem.5c03487","41782507","原创双靶小分子(标题层面)"
16,"2026","J Med Chem","Structure-Based Design and Free Energy Perturbation-Guided Synthesis of Novel VEGFR2 and HDAC Dual Inhibitors with Potent Antitumor Efficacy.","10.1021/acs.jmedchem.5c01650","https://doi.org/10.1021/acs.jmedchem.5c01650","41704127","原创双靶小分子(标题层面)"
17,"2026","J Med Chem","(N)-Methanocarba Adenosine Derivatives as Dual Modulators of P-Glycoprotein and ABCG2 Transporters.","10.1021/acs.jmedchem.5c03705","https://doi.org/10.1021/acs.jmedchem.5c03705","41703909","原创双靶小分子(标题层面)"
18,"2026","J Med Chem","Discovery of Novel CBP/p300 and BRD4 Dual-Target PROTACs with Potent Antitumor Activity in Prostate Cancer.","10.1021/acs.jmedchem.5c03168","https://doi.org/10.1021/acs.jmedchem.5c03168","41650352","降解剂/PROTAC类"
19,"2025","J Med Chem","Design and Optimization of LOXL2 and sGC Dual-Target Regulators Targeting Extracellular Matrix Dysregulation and Vasodilation for the Treatment of Pulmonary Arterial Hypertension.","10.1021/acs.jmedchem.5c03039","https://doi.org/10.1021/acs.jmedchem.5c03039","41389019","原创双靶小分子(标题层面)"
20,"2025","J Med Chem","Discovery of the First Potent PI3K/mTOR Dual-Targeting PROTAC Degrader for Efficient Modulation of the PI3K/AKT/mTOR Pathway.","10.1021/acs.jmedchem.5c02244","https://doi.org/10.1021/acs.jmedchem.5c02244","41332195","降解剂/PROTAC类"
21,"2025","J Med Chem","Discovery of Novel and Highly Potent Wee1 and HDAC Dual-Target Inhibitors for the Treatment of Acute Myeloid Leukemia.","10.1021/acs.jmedchem.5c01789","https://doi.org/10.1021/acs.jmedchem.5c01789","41147365","原创双靶小分子(标题层面)"
22,"2025","J Med Chem","Discovery of Cdc20/Hsp90 Dual-Target Inhibitors with Potent Antitumor Activity for Therapy of Acquired Resistant Melanoma.","10.1021/acs.jmedchem.5c01444","https://doi.org/10.1021/acs.jmedchem.5c01444","41103026","原创双靶小分子(标题层面)"
23,"2025","J Med Chem","Design, Synthesis, and Biological Evaluation of Quinoline-Based Hydroxamic Acid Derivatives as Dual DNMT and HDAC Inhibitors with Potent Anti-Breast Cancer Activity.","10.1021/acs.jmedchem.5c01092","https://doi.org/10.1021/acs.jmedchem.5c01092","40878672","原创双靶小分子(标题层面)"
24,"2025","J Med Chem","Structure-Based Discovery of Hsp90/HDAC6 Dual Inhibitors Targeting Aggressive Prostate Cancer.","10.1021/acs.jmedchem.5c00717","https://doi.org/10.1021/acs.jmedchem.5c00717","40699153","原创双靶小分子(标题层面)"
25,"2025","J Med Chem","Discovery of Diaryl Piperidone-Sulfonamide as a Novel Dual-Target Inhibitor of STAT3/CAIX Inducing Ferroptosis in Triple-Negative Breast Cancer Cells.","10.1021/acs.jmedchem.5c00126","https://doi.org/10.1021/acs.jmedchem.5c00126","40515697","原创双靶小分子(标题层面)"
26,"2025","J Med Chem","Discovery of BAY 3389934 Hydrochloride: A Potent and Selective Small-Molecule Dual Factor IIa/Xa Inhibitor with Short Half-Life for the Acute Treatment of Sepsis-Induced Coagulopathy.","10.1021/acs.jmedchem.5c00538","https://doi.org/10.1021/acs.jmedchem.5c00538","40498640","原创双靶小分子(标题层面)"
27,"2025","J Med Chem","Design and Synthesis of PARP/CDK6 Dual-Target Inhibitors Modulating of Wnt/β-Catenin Signaling Pathway for the Treatment of BRCA Wild-Type TNBC.","10.1021/acs.jmedchem.5c01058","https://doi.org/10.1021/acs.jmedchem.5c01058","40492684","原创双靶小分子(标题层面)"
28,"2025","J Med Chem","Rational Design of Novel Quinazolinone-Pyrrolodihydropyrrolone Analogs as PIM/HDAC Dual-Target Inhibitors for the Treatment of Acute Myelocytic Leukemia.","10.1021/acs.jmedchem.5c00040","https://doi.org/10.1021/acs.jmedchem.5c00040","40444519","原创双靶小分子(标题层面)"
29,"2025","J Med Chem","Identification of a RANKL/TNF-α Dual-Inhibitor as a Potential Disease-Modifying Agent for the Treatment of Knee Osteoarthritis.","10.1021/acs.jmedchem.5c00394","https://doi.org/10.1021/acs.jmedchem.5c00394","40358029","原创双靶小分子(标题层面)"
30,"2025","J Med Chem","Discovery of Potent PDEδ/NAMPT Dual Inhibitors: Preclinical Evaluation in KRAS Mutant Pancreatic Cancer Cells.","10.1021/acs.jmedchem.4c02636","https://doi.org/10.1021/acs.jmedchem.4c02636","40289347","原创双靶小分子(标题层面)"
31,"2025","J Med Chem","Toward Dual-Target Glycomimetics against Two Bacterial Lectins to Fight Pseudomonas aeruginosa-Burkholderia cenocepacia Infections: A Biophysical Study.","10.1021/acs.jmedchem.5c00405","https://doi.org/10.1021/acs.jmedchem.5c00405","40279549","原创双靶小分子(标题层面)"
32,"2025","J Med Chem","Structure-Based Design of New LSD1/EGFR(L858R/T790M) Dual Inhibitors for Treating EGFR Mutant NSCLC Cancers.","10.1021/acs.jmedchem.5c00267","https://doi.org/10.1021/acs.jmedchem.5c00267","40015914","原创双靶小分子(标题层面)"
33,"2025","J Med Chem","Discovery of Novel and Highly Potent Dual PD-L1/Histone Deacetylase 6 Inhibitors with Favorable Pharmacokinetics for Cancer Immunotherapy.","10.1021/acs.jmedchem.4c02510","https://doi.org/10.1021/acs.jmedchem.4c02510","39979078","原创双靶小分子(标题层面)"
34,"2025","J Med Chem","Design, Synthesis, and Biological Evaluation of Novel Orally Available Covalent CDK12/13 Dual Inhibitors for the Treatment of Tumors.","10.1021/acs.jmedchem.4c01616","https://doi.org/10.1021/acs.jmedchem.4c01616","39948720","原创双靶小分子(标题层面)"
35,"2025","J Med Chem","Design, Synthesis, and Activity Evaluation of Novel Bifenamide Dual-Target Antibacterial Inhibitors and Carrier Based on Infectious Microenvironment.","10.1021/acs.jmedchem.4c02913","https://doi.org/10.1021/acs.jmedchem.4c02913","39935372","原创双靶小分子(标题层面)"
36,"2025","J Med Chem","Design, Synthesis, and Biological Evaluation of Thieno[3,2-d]pyrimidine Derivatives as the First Bifunctional PI3Kδ Isoform Selective/Bromodomain and Extra-Terminal Inhibitors.","10.1021/acs.jmedchem.4c02478","https://doi.org/10.1021/acs.jmedchem.4c02478","39853339","原创双靶小分子(标题层面)"
37,"2025","J Med Chem","Discovery of WDR5-MLL1 and HDAC Dual-Target Inhibitors for the Treatment of Acute Myeloid Leukemia.","10.1021/acs.jmedchem.4c01720","https://doi.org/10.1021/acs.jmedchem.4c01720","39804067","原创双靶小分子(标题层面)"
38,"2025","J Med Chem","Discovery of FHD-286, a First-in-Class, Orally Bioavailable, Allosteric Dual Inhibitor of the Brahma Homologue (BRM) and Brahma-Related Gene 1 (BRG1) ATPase Activity for the Treatment of SWItch/Sucrose Non-Fermentable (SWI/SNF) Dependent Cancers.","10.1021/acs.jmedchem.4c02535","https://doi.org/10.1021/acs.jmedchem.4c02535","39801091","原创双靶小分子(标题层面)"
39,"2025","J Med Chem","Lanosterol 14α-Demethylase (CYP51)/Heat Shock Protein 90 (Hsp90) Dual Inhibitors for the Treatment of Invasive Candidiasis.","10.1021/acs.jmedchem.4c02305","https://doi.org/10.1021/acs.jmedchem.4c02305","39754582","原创双靶小分子(标题层面)"
40,"2025","J Med Chem","Novel PD-L1/VISTA Dual Inhibitor as Potential Immunotherapy Agents.","10.1021/acs.jmedchem.4c01640","https://doi.org/10.1021/acs.jmedchem.4c01640","39731560","原创双靶小分子(标题层面)"
41,"2025","J Med Chem","Indolo[3,2-c]isoquinoline Hydroxamic Acid Derivatives as Novel Orally Topoisomerase-Histone Deacetylase Dual Inhibitors for NSCLC Therapy.","10.1021/acs.jmedchem.4c01859","https://doi.org/10.1021/acs.jmedchem.4c01859","39442082","原创双靶小分子(标题层面)"
42,"2024","J Med Chem","Discovery of Dual CDK6/BRD4 Inhibitor Inducing Apoptosis and Increasing the Sensitivity of Ferroptosis in Triple-Negative Breast Cancer.","10.1021/acs.jmedchem.4c01976","https://doi.org/10.1021/acs.jmedchem.4c01976","39575863","原创双靶小分子(标题层面)"
43,"2024","J Med Chem","Discovery of the First-in-Class Dual-Target ROCK/HDAC Inhibitor with Potent Antitumor Efficacy in Vivo That Trigger Antitumor Immunity.","10.1021/acs.jmedchem.4c02183","https://doi.org/10.1021/acs.jmedchem.4c02183","39523548","原创双靶小分子(标题层面)"
