idx,year,journal,title,doi,url,pmid,has_synthesis_and_activity,synthesis,activity,design_type,design_confidence,targets_guess,synth_snippet,activity_snippet,abstract,design_bucket
1,2026,J Med Chem,"Design, Synthesis, and Pharmacological Evaluation of cGAS/HDAC Dual Inhibitors for Treatment of Autoimmune Diseases.",10.1021/acs.jmedchem.6c00583,https://doi.org/10.1021/acs.jmedchem.6c00583,42268702,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,连接型/杂合型(linked/hybrid),摘要明示,cGAS/HDAC; HDAC/cGAS,,"that dual cGAS/HDAC inhibition could be a novel therapeutic strategy. Herein, we report the identification of an HDAC/cG","cGAS overactivation is linked to various inflammatory and autoimmune diseases. Recent studies identify HDACs as critical regulators of cGAS, suggesting that dual cGAS/HDAC inhibition could be a novel therapeutic strategy. Herein, we report the identification of an HDAC/cGAS dual inhibitor, 31h, containing a hydroxamic acid moiety. This compound exhibited potent inhibitory activity against human and mouse cGAS (IC50: 0.17 and 1.80 &#x3bc;M, respectively) and moderate activity against HDAC3 and HDAC6 (IC50: 1.2 and 0.4 &#x3bc;M, respectively). Mechanistically, 31h directly suppresses cGAS activity and increases its acetylation levels via HDAC3 inhibition. This dual-action profile resulted in robust therapeutic efficacy in murine models of inflammatory bowel disease and Aicardi-Gouti&#xe8;res syndrome. Collectively, 31h represents the first cGAS/HDAC dual inhibitor, offering a promising lead for further investigation into cGAS-dependent disorders.",C. 连接型/杂合型（linked/hybrid）
2,2026,J Med Chem,"Discovery of CZL-149: A Novel, Highly Potent, and Orally Bioavailable Dual Inhibitor Targeting BET and p300/CBP Bromodomains with Strong Antitumor Efficacy.",10.1021/acs.jmedchem.6c00468,https://doi.org/10.1021/acs.jmedchem.6c00468,42149923,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个紧凑分子(双同工酶/双激酶；通常非长链linker),摘要推断,BET/p300,,Dual inhibition of bromodomain and extra terminal (BET) and E1A-binding protein (p300)/CREB-binding prote,"Dual inhibition of bromodomain and extra terminal (BET) and E1A-binding protein (p300)/CREB-binding protein (CBP) bromodomains has shown superior antiproliferative activity compared to selectively targeting either family alone. Despite this therapeutic promise, progress in developing dual BET and p300/CBP bromodomain inhibitors remains limited, with only one candidate, NEO2734, having advanced to clinical studies. In this study, we replaced the pyridone-based acetyl-lysine mimic in NEO2734 with a pyrrolo[2,3-c]pyridinone fragment, which engages a conserved asparagine residue via a bidentate hydrogen-bond interaction. Through systematic structure-activity relationship exploration, we identified CZL-149, which exhibits potent activity against BET and p300/CBP bromodomains as well as multiple myeloma OPM-2 cells (IC50 = 3.3 nM). CZL-149 displays favorable drug-like properties and metabolic profile, achieving 107% oral bioavailability in mice. Importantly, CZL-149 outperformed NEO2734 in both antitumor efficacy (TGI = 78%) and safety in vivo, highlighting its potential as an advanced preclinical candidate worthy of further development.",A. 单个紧凑分子（双同工酶/双激酶，通常非长linker）
3,2026,J Med Chem,Rational Design of Dual-Target Molecules via a Fragment-Merging Strategy: TGR5 Agonism and SSTR5 Antagonism.,10.1021/acs.jmedchem.5c03308,https://doi.org/10.1021/acs.jmedchem.5c03308,41941587,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,融合/拼合型(fused/merged),摘要明示,TGR5/SSTR5,"onally designed and synthesized to concurrently activate TGR5 and antagonize SSTR5. Among them, compound 19 (hTGR5 EC50 =",compound 19 (hTGR5 EC50 = 5.91 nM; hSSTR5 IC50 = 4.37 nM) exhibited potent and balanced in vitro activity at both,"TGR5 represents a compelling therapeutic target for metabolic disorders, yet the clinical development of its agonists has been constrained by gallbladder filling. Antagonism of SSTR5 enhances GLP-1 secretion and promotes gallbladder contraction signaling, supporting incretin-mediated glycemic control, and counteracting TGR5-mediated gallbladder filling. Guided by this rationale, a series of dual-target small molecules were rationally designed and synthesized to concurrently activate TGR5 and antagonize SSTR5. Among them, compound 19 (hTGR5 EC50 = 5.91 nM; hSSTR5 IC50 = 4.37 nM) exhibited potent and balanced in vitro activity at both TGR5 and SSTR5, although the series displays suboptimal physicochemical and metabolic properties. In vivo, compound 19 improved glucose tolerance and alleviated gallbladder filling at pharmacologically relevant doses. Collectively, these findings establish a proof of concept for dual TGR5/SSTR5 modulation as a promising therapeutic modality, providing a viable strategy to achieve potent metabolic efficacy with reduced risk of adverse effects.",B. 融合/拼合型（fused/merged）
4,2026,J Med Chem,Discovery of Novel CBP/p300 and BRD4 Dual-Target PROTACs with Potent Antitumor Activity in Prostate Cancer.,10.1021/acs.jmedchem.5c03168,https://doi.org/10.1021/acs.jmedchem.5c03168,41650352,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,PROTAC/降解剂(连接型双功能),摘要明示,见题目/摘要,"report the rational design, synthesis, and biological evaluation of novel PROTACs capable of simultaneously degrading CBP/p300","from 8.8 pM to 10.5 nM in PC-3 prostate cancer cells, accompanied by marked downregulation of c-Myc and acetylat","CBP/p300 and BRD4 synergistically drive prostate cancer progression. Here, we report the rational design, synthesis, and biological evaluation of novel PROTACs capable of simultaneously degrading CBP/p300 and BRD4. The representative compounds 10h and 29c induced robust degradation of both targets with DC50 values ranging from 8.8 pM to 10.5 nM in PC-3 prostate cancer cells, accompanied by marked downregulation of c-Myc and acetylated H3K27. Both compounds displayed potent antiproliferative activity across multiple cancer cell lines, with higher potency than NEO2734, paclitaxel (PTX), and ARV-771. In a PC-3 xenograft mouse model, compound 29c achieved dose-dependent tumor growth inhibition (TGI) of up to 81.5% at a low dose of 0.2 mg/kg, administered every other day, significantly surpassing the efficacy of NEO2734 and PTX at higher doses. Together, 29c, a highly efficient CBP/p300 and BRD4 dual-target degrader, demonstrates significant therapeutic potential in prostate cancer and warrants further development.",D. PROTAC/降解剂（连接型双功能）
5,2026,J Med Chem,Modular Access to Diverse Soluble Epoxide Hydrolase Degraders as Potential Agents for Alleviating LPS-Induced Acute Inflammation.,10.1021/acs.jmedchem.5c03304,https://doi.org/10.1021/acs.jmedchem.5c03304,42469598,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,PROTAC/降解剂(连接型双功能),摘要明示,见题目/摘要,,highest degradation potency (DC50 = 2.9 nM) and exhibited satisfactory degradative pharmacokinetic properties within,"Bifunctional soluble epoxide hydrolase (sEH) represents an attractive therapeutic target for inflammation-associated disorders. Targeted protein degradation (TPD) offers new opportunities for targeting and blocking the enzymatic function of sEH, thereby ameliorating inflammation-related diseases. Herein, a diversity-oriented synthesis of 24 proteolysis-targeting chimeras (PROTACs) and 5 hydrophobic tag-targeted degraders (HyTTDs) was successfully facilitated by a Ugi-4CR reaction. Notably, the E3 ubiquitin ligase RNF126 and hydrophobic tag (HyT) ligands are delicately embedded in the degraders and exhibit moderate to good degradative activities toward sEH. After comprehensive biological screening, the PROTAC molecule 1d was found to have the highest degradation potency (DC50 = 2.9 nM) and exhibited satisfactory degradative pharmacokinetic properties within 6 h, which further proved to significantly attenuate LPS-induced in vivo acute inflammation, highlighting its therapeutic utility.",D. PROTAC/降解剂（连接型双功能）
6,2025,J Med Chem,Discovery of the First Potent PI3K/mTOR Dual-Targeting PROTAC Degrader for Efficient Modulation of the PI3K/AKT/mTOR Pathway.,10.1021/acs.jmedchem.5c02244,https://doi.org/10.1021/acs.jmedchem.5c02244,41332195,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,PROTAC/降解剂(连接型双功能),摘要明示,PI3K/mTOR,"OR was designed and synthesized. Compound GP262 was identified as a potent dual-degrader of both PI3K and mTOR, with DC50","lues of 42.23-227.4 nM (PI3K) and 45.4 nM (mTOR) in MDA-MB-231 cells, GP262 also exhibited robust antiproliferat","The phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT)/mammalian target of rapamycin (mTOR) pathway is a critical regulator of cell growth and metabolism, and its dysregulation is implicated in various cancers. In this study, a series of dual-target degraders simultaneously targeting PI3K and mTOR was designed and synthesized. Compound GP262 was identified as a potent dual-degrader of both PI3K and mTOR, with DC50 values of 42.23-227.4 nM (PI3K) and 45.4 nM (mTOR) in MDA-MB-231 cells, GP262 also exhibited robust antiproliferative activity in multiple breast cancer cell lines. Mechanistic studies confirmed that GP262 achieved degradation through the ubiquitin-proteasome system (UPS). DIA proteomics and RNA-seq confirmed the on-target pathway modulation and revealed potential antileukemia activity. In vivo validation showed GP262's significant tumor growth suppression capability. These findings indicated that GP262, as the first dual-targeted degrader of PI3K and mTOR, had great potential in the treatment of breast cancer and leukemia.",D. PROTAC/降解剂（连接型双功能）
7,2025,J Med Chem,"Design, Synthesis, and Biological Evaluation of Thieno[3,2-d]pyrimidine Derivatives as the First Bifunctional PI3K&#x3b4; Isoform Selective/Bromodomain and Extra-Terminal Inhibitors.",10.1021/acs.jmedchem.4c02478,https://doi.org/10.1021/acs.jmedchem.4c02478,39853339,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,融合/拼合型(fused/merged),摘要明示,见题目/摘要,,The concomitant inhibition of PI3K&#x3b4; and bromodomain and extra-terminal (BET) that exerts a synergistic effect,"The concomitant inhibition of PI3K&#x3b4; and bromodomain and extra-terminal (BET) that exerts a synergistic effect on the B-cell receptor signaling pathway provides a new strategy for the treatment of aggressive diffuse large B-cell lymphoma (DLBCL). Herein, a merged pharmacophore strategy was utilized to discover a series of thieno[3,2-d]pyrimidine derivatives as the first-in-class bifunctional PI3K&#x3b4;-BET inhibitors. Through optimization, a highly potent compound (10b) was identified to possess excellent and balanced activities against PI3K&#x3b4; [inhibitory concentration (IC50) = 112 &#xb1; 8 nM] and BRD4-BD1 (IC50 = 19 &#xb1; 1 nM) and exhibited strong antiproliferative activities in DLBCL cells. Notably, this compound demonstrated good PI3K&#x3b4; selectivity over other kinases with minimal cytotoxicity in normal cells. Moreover, 10b has a good oral pharmacokinetic profile in mice and achieves outstanding antitumor activity in the SU-DHL-6 xenograft model. Taken together, these results indicate that targeting PI3K&#x3b4; and BET with a bifunctional inhibitor is a promising strategy to treat DLBCL.",B. 融合/拼合型（fused/merged）
8,2026,J Med Chem,Rational Design of Diaryl Ether-Based Dual Inhibitors Targeting Successive Essential Enzymes HadAB and InhA in Mycobacterium tuberculosis.,10.1021/acs.jmedchem.6c01302,https://doi.org/10.1021/acs.jmedchem.6c01302,42415474,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,设计类型摘要未明说,摘要未明说,见题目/摘要,"hways. We designed, synthesized, and evaluated a series of dual inhibitors targeting two key enzymes of the mycobacterial",esistant Mycobacterium tuberculosis underscores the need for innovative therapeutic strategies targeting essenti,"The emergence of drug-resistant Mycobacterium tuberculosis underscores the need for innovative therapeutic strategies targeting essential metabolic pathways. We designed, synthesized, and evaluated a series of dual inhibitors targeting two key enzymes of the mycobacterial FAS-II system, HadAB and InhA. Using a diaryl ether scaffold, six thiosemicarbazone derivatives and their aldehyde intermediates were prepared and tested for enzymatic and antimycobacterial activity. Thiosemicarbazone derivatives and aldehyde intermediates both strongly inhibited InhA, and the thiosemicarbazones additionally potentially inhibited HadAB through covalent interaction with the HadA subunit, supporting the dual-target approach. Several compounds showed low micromolar to submicromolar activity against drug-susceptible and clinical M. tuberculosis strains, including an ethA-deficient mutant. Crystallographic structures of InhA-ligand complexes revealed key binding interactions and clarified inhibition mechanisms. Despite some cytotoxicity concerns, these findings provide a promising basis for developing optimized dual-target inhibitors of the M. tuberculosis FAS-II pathway.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
9,2026,J Med Chem,"(S,S)-5-Chloro-3-((3,5-dimethylphenyl)sulfonyl)-N-(1-oxo-1-((1-(pyridin-4-yl)ethyl)amino)propan-2-yl)-1H-indole-2-carboxamide, a New Dishevelled 1 and P-Glycoprotein Dual Inhibitor as a Anticancer Agent.",10.1021/acs.jmedchem.6c00706,https://doi.org/10.1021/acs.jmedchem.6c00706,42283820,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,,en correlated with tumor progression and metastasis. DVL1 was found overexpressed in multidrug-resistant colorec,"Dishevelled (DVL) proteins are key mediators of the Wnt/&#x3b2;-catenin signaling pathway, involved in signal transduction from membrane receptors to intracellular effectors. DVL up-regulation has often been correlated with tumor progression and metastasis. DVL1 was found overexpressed in multidrug-resistant colorectal cancer (CRC) cells. Here, we describe the synthesis of new indole-2-carboxamides 2-18 as DVL1 inhibitors. Compound (S,S)-15 showed potent DVL1 inhibition with IC50 of 0.97 &#xb1; 0.21 &#x3bc;M and specific binding to the DVL1 PDZ domain. (S,S)-15 strongly reduced &#x3b2;-catenin expression in HCT116 CRC cells and significantly decreased tumor volume and weight in a xenograft model. Additionally, (S,S)-15 inhibited P-glycoprotein (P-gp), restoring sensitivity to doxorubicin (DOX) in HT29/DX CRC chemoresistant cells. (S,S)-15 demonstrated high metabolic stability in human liver microsomes, and an acceptable pharmacokinetic profile following IV administration in mice. Our findings indicate that compound (S,S)-15 represents a promising dual-targeting antitumor candidate for CRC treatment.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
10,2026,J Med Chem,(N)-Methanocarba Adenosine Derivatives as Dual Modulators of P-Glycoprotein and ABCG2 Transporters.,10.1021/acs.jmedchem.5c03705,https://doi.org/10.1021/acs.jmedchem.5c03705,41703909,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,"(MDR) in tumors, we synthesized and characterized 34 nucleoside analogues. Effects on ATPase activity of both ABCG2 and P","es modulate efflux pump activity associated with multidrug resistance (MDR) in tumors, we synthesized and charac","Following previous observations that N6-elongated (N)-methanocarba adenosine derivatives modulate efflux pump activity associated with multidrug resistance (MDR) in tumors, we synthesized and characterized 34 nucleoside analogues. Effects on ATPase activity of both ABCG2 and P-glycoprotein identified m-substituted N6-benzyl derivative 16 (MRS8288) as a dual inhibitor, with IC50 1.0 and 1.4 &#x3bc;M, respectively. Compound 30 (MRS8431) inhibited ABCG2-ATPase activity with IC50 160 &#xb1; 9 nM, while compound 40 (MRS8432) stimulated it potently with EC50 7.5 &#xb1; 2 nM. Selected (N)-methanocarba nucleosides, notably 16, 30, and 40, inhibited ABCG2-mediated substrate transport, with marginal effects on the activity of P-gp and were not transported by ABCG2. Compound 30, but not 16 or 40, sensitized ABCG2-expressing HEK-293-R5 cells to mitoxantrone. Distinct docking modes of compounds 30 and 40 to ABCG2 predict the structural determinants for the inhibition of ATPase. These results reveal novel rigid, extended nucleoside inhibitors of ABC transporters with varied activities that attenuate MDR in cells.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
11,2025,J Med Chem,"Design, Synthesis, and Biological Evaluation of Quinoline-Based Hydroxamic Acid Derivatives as Dual DNMT and HDAC Inhibitors with Potent Anti-Breast Cancer Activity.",10.1021/acs.jmedchem.5c01092,https://doi.org/10.1021/acs.jmedchem.5c01092,40878672,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,DNMT/HDAC,"rein, we report the design, synthesis, and biological evaluation of a series of quinoline-based hydroxamic acid derivatives as","ethyltransferases (DNMTs) and histone deacetylases (HDACs) play complementary roles in epigenetic regulation, an","Both DNA methyltransferases (DNMTs) and histone deacetylases (HDACs) play complementary roles in epigenetic regulation, and their simultaneous inhibition is a promising strategy for cancer therapy. Herein, we report the design, synthesis, and biological evaluation of a series of quinoline-based hydroxamic acid derivatives as dual DNMT and HDAC inhibitors. Notably, compound Y7 emerged as the most potent dual-target inhibitor, with IC50 values of 365 and 0.20 nM against DNMT1 and HDAC1, respectively. Furthermore, Y7 exhibited significantly enhanced antitumor efficacy compared with that of decitabine-SAHA combination in breast cancer cells. The results of in vivo experiments showed that Y7 markedly reduced tumor growth in both xenograft and transgenic breast cancer mouse models, presenting superior efficacy than the decitabine-SAHA combination without detectable toxicity. Altogether, these results present Y7 as a promising dual DNMT and HDAC inhibitor with the potential for further development as a therapeutic agent for breast cancer.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
12,2025,J Med Chem,Discovery of Diaryl Piperidone-Sulfonamide as a Novel Dual-Target Inhibitor of STAT3/CAIX Inducing Ferroptosis in Triple-Negative Breast Cancer Cells.,10.1021/acs.jmedchem.5c00126,https://doi.org/10.1021/acs.jmedchem.5c00126,40515697,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,,"ed significant antitumor effects against the MDA-MB-231 cell line both in vitro and in vivo. Mechanistically, 7m","A series of diaryl piperidone-sulfonamide derivatives were designed as dual inhibitors of STAT3/CAIX and ferroptosis inducers for triple-negative breast cancer (TNBC). The representative compound 7m demonstrated significant antitumor effects against the MDA-MB-231 cell line both in vitro and in vivo. Mechanistically, 7m inhibits the phosphorylation of STAT3, with a binding affinity determined by surface plasmon resonance (SPR) analysis (KD = 60.03 &#xb1; 8.13 &#x3bc;M). Additionally, 7m exhibits potent inhibitory activity against CA IX (IC50 = 80.45 &#xb1; 39.7 nM) and shows enhanced antitumor activity under hypoxic conditions compared to normoxic conditions. Molecular docking studies suggest a rational binding mode between 7m and the SH2 domain of STAT3, as well as with the CA IX protein. Furthermore, 7m increases the levels of reactive oxygen species (ROS) and lipid peroxides in MDA-MB-231 cells, thereby inducing ferroptosis. These findings provide a novel therapeutic strategy for the treatment of TNBC.",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
13,2024,J Med Chem,Discovery of a Novel Thienopyrimidine Compound as a Urate Transporter 1 and Glucose Transporter 9 Dual Inhibitor with Improved Efficacy and Favorable Druggability.,10.1021/acs.jmedchem.4c00136,https://doi.org/10.1021/acs.jmedchem.4c00136,38482820,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,融合/拼合型(fused/merged),摘要明示,URAT1/GLUT9,,"erized with high serum uric acid (SUA) levels that significantly impact human health. Lesinurad, a uricosuric ag","Gout and hyperuricemia are metabolic diseases characterized with high serum uric acid (SUA) levels that significantly impact human health. Lesinurad, a uricosuric agent, is limited to concurrent use with xanthine oxidase inhibitors (XOIs) in clinical practice due to its restricted efficacy and potential nephrotoxicity. Herein, extensive structural modifications of lesinurad were conducted through scaffold hopping and substituent modification strategies, affording 54 novel derivatives containing pyrimidine-fused cyclic structures. Notably, the thienopyrimidine compound 29 demonstrated a remarkable 2-fold increase in SUA-lowering in vivo activity compared to lesinurad, while exhibiting potent inhibitory activity against the urate transporter 1 (URAT1, IC50 = 2.01 &#x3bc;M) and glucose transporter 9 (GLUT9, IC50 = 18.21 &#x3bc;M). Furthermore, it possessed a lower effective dosage of 0.5 mg/kg, favorable safety profile without any apparent acute toxicity at doses of 1000 mg/kg, and improved pharmacokinetic properties. Overall, we have discovered an efficacious URAT1/GLUT9 dual inhibitor for inhibiting urate reabsorption with favorable pharmacokinetic profiles.",B. 融合/拼合型（fused/merged）
14,2026,J Med Chem,Polypharmacological Targeting of G2019S Mutant LRRK2 and JNK3 for the Discovery of a Lead Compound against Parkinson's Disease.,10.1021/acs.jmedchem.6c01439,https://doi.org/10.1021/acs.jmedchem.6c01439,42329175,是：摘要可见合成+活性,有（明确写合成/设计合成）,有（含具体浓度/IC50等数字）,单个小分子双靶(摘要未写fused/linked，结构类型需看全文),摘要未明说,见题目/摘要,,"itors with improved potency and drug-like properties. Among these, compound 17 exhibited low-nanomolar enzymatic inhi","Parkinson's disease (PD) is a multifactorial neurodegenerative disorder for which single-target therapeutic strategies have shown limited success. To address this challenge, we pursued a structure-based polypharmacological approach targeting both the hyperactive G2019S mutant of leucine-rich repeat kinase 2 (LRRK2G2019S) and c-Jun N-terminal kinase 3 (JNK3), two kinases implicated in PD pathogenesis. Virtual screening, de novo design, and biological evaluation identified N2-phenyl-9H-purine-2,6-diamine (NPPD)-based scaffolds as promising dual-target hits. Subsequent macrocyclization and systematic structure-activity relationship optimization led to inhibitors with improved potency and drug-like properties. Among these, compound 17 exhibited low-nanomolar enzymatic inhibition against both kinases and exceptional picomolar cellular potency against LRRK2G2019S. While optimal cellular activity against JNK3 remains challenging, compound 17 demonstrated a favorable kinome-wide selectivity profile. Pharmacokinetic studies revealed excellent oral exposure, moderate clearance, and efficient brain penetration without observable toxicity. Overall, this study identifies a promising lead compou",E. 单个小分子双靶（摘要未写清 fused/linked，需看全文结构）
