ligand_id,seed,urat1_sdf,nlrp3_sdf,urat1_sha256,nlrp3_sha256,urat1_nposes,nlrp3_nposes,urat1_a2_pass,nlrp3_structural_pass
REP_07885,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07885_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07885_out.sdf,74b9b418054c892bb4aaace49a94b14b94d1c0ab05992bd83f6641d4f00d342f,302cd58fc27e017b6762ff23dcd5e47631496628821e9e5e9e7a14ba8df10a94,9,9,True,False
REP_06119,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06119_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06119_out.sdf,df12081ff1af01b94c131477721dbd7ca9d9165003cd9da226c61059d4a4ac45,fa4851611dd8d74a2dc821dcaae982446123218fff792e4b26055747ce608bc2,9,9,True,True
REP_04441,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_04441_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_04441_out.sdf,fa8041533517bed4cbeda2de2b35f0585f9ee1ebcb4a88bdf1a469f82315e0cd,779f0a0362bad7984d2edca9abaeeea354e6719c5fcaf9a5e1a36a52f88780f6,9,9,False,False
REP_06875,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06875_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06875_out.sdf,ac93fb4aaa3e33d75a2d43b7f9851a7729519832cf63f2806ee17bfeae2d67fd,6818305a8c7290ae69b1f58e7961fc55ed17075fb2f2dc5a4907aa02552cb66c,9,9,True,True
REP_07635,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07635_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07635_out.sdf,3addbb830afad035d3b0347022c4ecf84db3f898626e42efce92d92c2f8321ad,1896021f65728a3baac21ce928a4084c4be6de75375c8fbac56968785e0f8f68,9,9,True,False
REP_07073,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07073_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07073_out.sdf,3de742ff2487197f206e2c3b92ad909ed9a04ce76539fa8eb0391418fa354503,4c155f682d784c916780ef0d870199ef72fa8093a3016e511af175ddd51529a6,9,9,False,False
REP_07074,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07074_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07074_out.sdf,8eabcf34c9f131bab3800d695df2bf66f2b3b53962425fec4699f623b60a6b43,0a65cbd8b96e50f8e86e79fb633c4a96d16153b0f0ddf8fb1ee175fa76e4be25,9,9,False,True
REP_00833,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00833_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00833_out.sdf,369c4f8f22f07574a332a11055a454bd66b44a93ba81b10ef4280eb8814675e2,232a5ccad4bacce4ccd397cd00c3ead5fce92d4f8aaf0aba241d5cbbe1ac29c9,9,9,True,False
REP_06925,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06925_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06925_out.sdf,eaf28ac79389ef337e01cc251276ba2cc6b526334c2f9d7feb38abee7761e4de,8940c47c46c5b89679330d7e756967423a03f82e8b2ebd5a111b8c6c360462ef,9,9,True,False
REP_07000,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07000_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07000_out.sdf,ca1b9bb0b2b4d6dd480ad35f75c8bdf8daaf0facfac9fc8db3eb11d35b5bb6af,a07e06d2d287a4c8d59e3da471f8bcb9075afc4ed9a602cc4a254232b98e290b,9,9,True,False
REP_07825,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07825_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07825_out.sdf,79a3f411bba4b31a93ddc66769ed1193937bfa26f182af5ba689643ef6e3b009,a0268a7498efff5a8d8afa2a5ac83eaa79a35a22a9a7c0ca7df7f98f123ec6e5,9,9,True,True
REP_06303,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06303_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06303_out.sdf,8d9d2c63b334939c593742f7f288989621b77d82c2755628610559bbc426ee67,31259bc38ec4b04ce620c3bcd012c45a3414288f047dd025fe8c0240aa54facc,9,9,True,False
REP_00853,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00853_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00853_out.sdf,9cfa610c711b509d670b7b44f34367425262967b063074325fdbba1b8e247796,8fae1cada54742a9328554639155d38c61da1c0c197e92a81e3aa55ef9632a48,9,9,True,False
REP_07021,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07021_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07021_out.sdf,985563522ac97c9b58986bc2168fb8730b8ac099ba12434ada10197394a4a839,722ce120d6f8af4b919338dc480d51e0e4a7ec5a011367a5636a949bb8adb58b,9,9,True,False
