repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,dock_score,glide_score_xp,docking_status,pdb_id,nlrp3_dock_score,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_07631,CHEMBL178654,HKI-357,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,NERXPXBELDBEPZ-RMKNXTFCSA-N,574.06,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)cc1,667,-8.807,-8.807,docked,9DKB,-6.864,-6.864,docked,7ALV,99.30379746835443,49.68354430379747,70.4746835443038,70.4746835443038,False
REP_07902,CHEMBL4212692,XP-102,CCCS(=O)(=O)Nc1ccc(F)c(-n2cc(-c3cncnc3)c3nc(N(C)C4CCN(CC)CC4)ccc32)c1F,AEJACXAFHXBVHF-UHFFFAOYSA-N,569.68,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(-n2cc(-c3cncnc3)c3nc(NC4CCNCC4)ccc32)cc1,921,-8.767,-8.767,docked,9DKB,-8.376,-8.376,docked,7ALV,99.24050632911391,49.68354430379747,99.81012658227849,99.81012658227849,False
REP_08123,CHEMBL5095038,ZIFTOMENIB,CNc1nc(NC2CCN(Cc3ccc4c(cc(C#N)n4C[C@H](C)N4CCN(S(C)(=O)=O)CC4)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,BGGALFIXXQOTPY-NRFANRHFSA-N,717.89,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,c1nc(NC2CCN(Cc3ccc4c(ccn4CCN4CCNCC4)c3)CC2)c2ccsc2n1,1292,-8.761,-8.761,docked,9DKB,-5.802,-5.802,docked,7ALV,99.17721518987341,23.734177215189874,14.873417721518988,23.734177215189874,False
REP_08101,CHEMBL4858364,MRTX-1133,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,SCLLZBIBSFTLIN-IFMUVJFISA-N,600.65,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,c1ccc2c(-c3cc4nc(OCC56CCCN5CCC6)nc(N5CC6CCC(C5)N6)c4cn3)cccc2c1,460,-8.715,-8.715,docked,9DKB,-7.838,-7.838,docked,7ALV,99.1139240506329,75.31645569620254,98.48101265822785,98.48101265822785,False
REP_05719,CHEMBL3545224,BURIXAFOR,Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1,QLVSJMZJSABWRX-UHFFFAOYSA-N,566.73,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cc(N2CCNCC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1,683,-8.698,-8.698,docked,9DKB,-5.481,-5.481,docked,7ALV,99.0506329113924,49.68354430379747,8.227848101265822,49.68354430379747,False
REP_06989,CHEMBL5314392,BAY1067197,C[C@H](N)C(=O)N[C@@H](C)C(=O)OCCOc1ccc(-c2c(C#N)c(SCc3csc(-c4ccc(Cl)cc4)n3)nc(N3CCCC3)c2C#N)cc1,WESNEIGKOAXSGX-VXKWHMMOSA-N,716.29,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,c1ccc(-c2cc(SCc3csc(-c4ccccc4)n3)nc(N3CCCC3)c2)cc1,210,-8.682,-8.682,docked,9DKB,-7.288,-7.288,docked,7ALV,98.9873417721519,91.36075949367088,90.53797468354429,91.36075949367088,False
REP_03741,CHEMBL2105890,MITEMCINAL FUMARATE,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)C(=O)[C@]1(C)OC,BELMMAAWNYFCGF-PZXAHSFZSA-N,755.99,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9095485,84.00048082702249,True,,O=C1CCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)C2CC=C(C1)O2,1332,-8.681,-8.681,docked,9DKB,-8.114,-8.114,docked,7ALV,98.9240506329114,16.265822784810126,99.68354430379746,99.68354430379746,False
REP_01212,CHEMBL5483011,INDINAVIR,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,613.8,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,1327,-8.675,-8.675,docked,9DKB,-6.397,-6.397,docked,7ALV,98.8607594936709,23.734177215189874,39.84177215189874,39.84177215189874,False
REP_07356,CHEMBL6068562,SPH-5030,CCOc1cc2ncnc(Nc3ccc(Oc4ccn5ncnc5c4)c(C)c3)c2cc1NC(=O)/C(F)=C/[C@H]1CCCN1C,HTAMCULFUCGZAM-FKYOTISTSA-N,582.64,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(C=CC1CCCN1)Nc1ccc2ncnc(Nc3ccc(Oc4ccn5ncnc5c4)cc3)c2c1,77,-8.673,-8.673,docked,9DKB,-6.711,-6.711,docked,7ALV,98.79746835443038,91.36075949367088,60.60126582278481,91.36075949367088,False
REP_00873,CHEMBL3647420,PYROTINIB,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C,SADXACCFNXBCFY-IYNHSRRRSA-N,583.09,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(C=CC1CCCN1)Nc1ccc2nccc(Nc3ccc(OCc4ccccn4)cc3)c2c1,179,-8.661,-8.661,docked,9DKB,-6.5,-6.5,docked,7ALV,98.73417721518987,91.36075949367088,46.80379746835443,91.36075949367088,False
