arm,n_dual,n_A_only,n_B_only,auroc_D_vs_A,auroc_D_vs_B,auroc_pooled,top10_A_only,top10_B_only,top10_dual,summary_min,summary_mean,pair,panel,underpowered,underpowered_detail
vina_mean,26,17,7,0.8122,0.1264,0.6122,2,5,3,0.1264,0.4693,EGFR_HER2,margin_strict,True,B_only<8
rtm_min_z,26,17,7,0.5633,0.2363,0.4679,4,1,5,0.2363,0.3998,EGFR_HER2,margin_strict,True,B_only<8
heavy_atoms,26,17,7,0.7285,0.228,0.5825,2,3,5,0.228,0.4783,EGFR_HER2,margin_strict,True,B_only<8
vina_mean,17,7,4,0.605,0.6324,0.615,2,1,7,0.605,0.6187,PIK3CA_mTOR,margin_strict,True,A_only<8;B_only<8
rtm_min_z,17,7,4,0.5966,0.7941,0.6684,2,0,8,0.5966,0.6954,PIK3CA_mTOR,margin_strict,True,A_only<8;B_only<8
heavy_atoms,17,7,4,0.4538,0.4265,0.4439,3,0,7,0.4265,0.4401,PIK3CA_mTOR,margin_strict,True,A_only<8;B_only<8
