pair,label,n,n_both_measured,frac_of_panel
EGFR_HER2,dual_strict,26,110,0.236
EGFR_HER2,A_only_strict,17,110,0.155
EGFR_HER2,B_only_strict,7,110,0.064
EGFR_HER2,neither_strict,9,110,0.082
EGFR_HER2,gray,51,110,0.464
EGFR_HER2,incomplete,0,110,0.0
PIK3CA_mTOR,dual_strict,17,48,0.354
PIK3CA_mTOR,A_only_strict,7,48,0.146
PIK3CA_mTOR,B_only_strict,4,48,0.083
PIK3CA_mTOR,neither_strict,2,48,0.042
PIK3CA_mTOR,gray,18,48,0.375
PIK3CA_mTOR,incomplete,0,48,0.0
