prep,arm,auroc_D_vs_A,auroc_D_vs_B,auroc_pooled,summary_min
ligprep_old,vina_mean,0.6278,0.4533,0.5485,0.4533
ligprep_old,rtm_min_z,0.8,0.6067,0.7121,0.6067
rdkit_new,vina_mean,0.6,0.3467,0.4848,0.3467
rdkit_new,rtm_min_z,0.6556,0.4667,0.5697,0.4667
